record_id,field,A2,B2
V220,rel_relational_reversal,uncertain,1
V222,rel_relational_reversal,0,uncertain
V223,rel_relational_reversal,0,uncertain
V224,rel_relational_reversal,0,uncertain
V225,rel_relational_reversal,0,uncertain
V226,rel_relational_reversal,0,uncertain
V228,rel_relational_reversal,0,uncertain
V204,rel_proxy_reversal,uncertain,0
V211,rel_proxy_reversal,0,uncertain
V219,rel_proxy_reversal,uncertain,0
V220,rel_proxy_reversal,uncertain,0
V222,rel_proxy_reversal,0,uncertain
V223,rel_proxy_reversal,0,uncertain
V224,rel_proxy_reversal,0,uncertain
V225,rel_proxy_reversal,0,uncertain
V227,rel_proxy_reversal,1,0
V228,rel_proxy_reversal,0,uncertain
V205,idx_actor_switch,0,1
V213,idx_actor_switch,0,uncertain
V214,idx_actor_switch,0,uncertain
V215,idx_actor_switch,0,uncertain
V217,idx_actor_switch,uncertain,1
V219,idx_actor_switch,uncertain,0
V220,idx_actor_switch,uncertain,0
V221,idx_actor_switch,uncertain,0
V228,idx_actor_switch,0,1
V205,idx_level_switch,0,uncertain
V213,idx_level_switch,0,uncertain
V214,idx_level_switch,0,uncertain
V215,idx_level_switch,0,uncertain
V220,idx_level_switch,uncertain,1
V221,idx_level_switch,uncertain,0
V205,idx_time_switch,0,uncertain
V213,idx_time_switch,0,uncertain
V214,idx_time_switch,0,uncertain
V215,idx_time_switch,0,uncertain
V219,idx_time_switch,uncertain,0
V220,idx_time_switch,1,0
V221,idx_time_switch,uncertain,0
V201,idx_construct_switch,1,0
V205,idx_construct_switch,0,uncertain
V213,idx_construct_switch,0,uncertain
V214,idx_construct_switch,0,uncertain
V215,idx_construct_switch,0,uncertain
V219,idx_construct_switch,1,0
V220,idx_construct_switch,uncertain,0
V221,idx_construct_switch,uncertain,0
V205,idx_environment_switch,0,uncertain
V213,idx_environment_switch,0,uncertain
V214,idx_environment_switch,0,uncertain
V215,idx_environment_switch,0,uncertain
V219,idx_environment_switch,uncertain,1
V220,idx_environment_switch,uncertain,0
V221,idx_environment_switch,uncertain,0
V225,idx_environment_switch,1,0
V201,mech_strategic_adaptive_feedback,0,uncertain
V202,mech_strategic_adaptive_feedback,0,uncertain
V203,mech_strategic_adaptive_feedback,0,uncertain
V205,mech_strategic_adaptive_feedback,0,uncertain
V213,mech_strategic_adaptive_feedback,0,uncertain
V214,mech_strategic_adaptive_feedback,0,uncertain
V215,mech_strategic_adaptive_feedback,0,uncertain
V218,mech_strategic_adaptive_feedback,1,uncertain
V219,mech_strategic_adaptive_feedback,uncertain,0
V220,mech_strategic_adaptive_feedback,1,0
V221,mech_strategic_adaptive_feedback,uncertain,0
V222,mech_strategic_adaptive_feedback,uncertain,0
V223,mech_strategic_adaptive_feedback,uncertain,0
V224,mech_strategic_adaptive_feedback,uncertain,0
V225,mech_strategic_adaptive_feedback,1,uncertain
V226,mech_strategic_adaptive_feedback,1,0
V227,mech_strategic_adaptive_feedback,1,0
V228,mech_strategic_adaptive_feedback,0,uncertain
V201,mech_capacity_overload,0,uncertain
V202,mech_capacity_overload,0,uncertain
V203,mech_capacity_overload,0,uncertain
V204,mech_capacity_overload,1,uncertain
V205,mech_capacity_overload,0,uncertain
V210,mech_capacity_overload,uncertain,1
V213,mech_capacity_overload,0,uncertain
V214,mech_capacity_overload,0,uncertain
V215,mech_capacity_overload,0,uncertain
V217,mech_capacity_overload,uncertain,1
V219,mech_capacity_overload,uncertain,0
V220,mech_capacity_overload,uncertain,0
V221,mech_capacity_overload,uncertain,0
V222,mech_capacity_overload,uncertain,0
V223,mech_capacity_overload,uncertain,0
V224,mech_capacity_overload,uncertain,0
V228,mech_capacity_overload,0,uncertain
V201,mech_nonlinear_ecological_dynamics,0,uncertain
V202,mech_nonlinear_ecological_dynamics,0,uncertain
V203,mech_nonlinear_ecological_dynamics,0,uncertain
V205,mech_nonlinear_ecological_dynamics,0,uncertain
V213,mech_nonlinear_ecological_dynamics,0,uncertain
V214,mech_nonlinear_ecological_dynamics,0,uncertain
V215,mech_nonlinear_ecological_dynamics,0,uncertain
V220,mech_nonlinear_ecological_dynamics,uncertain,0
V221,mech_nonlinear_ecological_dynamics,uncertain,0
V222,mech_nonlinear_ecological_dynamics,uncertain,0
V223,mech_nonlinear_ecological_dynamics,uncertain,0
V224,mech_nonlinear_ecological_dynamics,uncertain,0
V228,mech_nonlinear_ecological_dynamics,0,uncertain
V201,mech_information_filtering,0,uncertain
V202,mech_information_filtering,0,uncertain
V203,mech_information_filtering,0,uncertain
V205,mech_information_filtering,0,uncertain
V213,mech_information_filtering,0,uncertain
V214,mech_information_filtering,0,uncertain
V215,mech_information_filtering,0,uncertain
V219,mech_information_filtering,uncertain,0
V220,mech_information_filtering,uncertain,0
V221,mech_information_filtering,uncertain,0
V222,mech_information_filtering,uncertain,1
V223,mech_information_filtering,uncertain,1
V224,mech_information_filtering,uncertain,1
V228,mech_information_filtering,0,uncertain
V201,mech_norm_motivational_reactance,0,uncertain
V202,mech_norm_motivational_reactance,0,uncertain
V203,mech_norm_motivational_reactance,0,uncertain
V205,mech_norm_motivational_reactance,0,uncertain
V207,mech_norm_motivational_reactance,1,uncertain
V213,mech_norm_motivational_reactance,0,uncertain
V214,mech_norm_motivational_reactance,0,uncertain
V215,mech_norm_motivational_reactance,0,uncertain
V219,mech_norm_motivational_reactance,uncertain,0
V220,mech_norm_motivational_reactance,uncertain,0
V221,mech_norm_motivational_reactance,uncertain,0
V222,mech_norm_motivational_reactance,uncertain,0
V223,mech_norm_motivational_reactance,uncertain,0
V224,mech_norm_motivational_reactance,uncertain,0
V228,mech_norm_motivational_reactance,0,uncertain
V201,mech_exposure_induced_adaptation,0,uncertain
V202,mech_exposure_induced_adaptation,0,uncertain
V203,mech_exposure_induced_adaptation,0,uncertain
V205,mech_exposure_induced_adaptation,0,uncertain
V213,mech_exposure_induced_adaptation,0,uncertain
V214,mech_exposure_induced_adaptation,0,uncertain
V215,mech_exposure_induced_adaptation,0,uncertain
V219,mech_exposure_induced_adaptation,uncertain,0
V220,mech_exposure_induced_adaptation,uncertain,0
V221,mech_exposure_induced_adaptation,uncertain,0
V222,mech_exposure_induced_adaptation,uncertain,0
V223,mech_exposure_induced_adaptation,uncertain,0
V224,mech_exposure_induced_adaptation,uncertain,0
V228,mech_exposure_induced_adaptation,0,uncertain
V201,mech_intervention_toxicity,0,uncertain
V202,mech_intervention_toxicity,0,uncertain
V203,mech_intervention_toxicity,0,uncertain
V205,mech_intervention_toxicity,0,uncertain
V213,mech_intervention_toxicity,0,uncertain
V214,mech_intervention_toxicity,0,uncertain
V215,mech_intervention_toxicity,0,uncertain
V219,mech_intervention_toxicity,uncertain,0
V220,mech_intervention_toxicity,uncertain,0
V221,mech_intervention_toxicity,uncertain,0
V222,mech_intervention_toxicity,uncertain,0
V223,mech_intervention_toxicity,uncertain,0
V224,mech_intervention_toxicity,uncertain,0
V226,mech_intervention_toxicity,0,1
V228,mech_intervention_toxicity,0,uncertain
V201,mech_coordination_externality,0,uncertain
V202,mech_coordination_externality,0,uncertain
V203,mech_coordination_externality,0,uncertain
V205,mech_coordination_externality,0,uncertain
V213,mech_coordination_externality,0,uncertain
V214,mech_coordination_externality,0,uncertain
V215,mech_coordination_externality,0,uncertain
V217,mech_coordination_externality,1,uncertain
V218,mech_coordination_externality,1,uncertain
V219,mech_coordination_externality,1,0
V220,mech_coordination_externality,uncertain,0
V221,mech_coordination_externality,uncertain,0
V222,mech_coordination_externality,uncertain,0
V223,mech_coordination_externality,uncertain,0
V224,mech_coordination_externality,uncertain,0
V228,mech_coordination_externality,0,1
V204,ev_randomized_experiment,uncertain,0
V208,ev_randomized_experiment,uncertain,0
V219,ev_randomized_experiment,uncertain,0
V220,ev_randomized_experiment,uncertain,0
V222,ev_randomized_experiment,uncertain,0
V223,ev_randomized_experiment,uncertain,0
V224,ev_randomized_experiment,uncertain,0
V226,ev_randomized_experiment,uncertain,0
V227,ev_randomized_experiment,uncertain,0
V204,ev_quasi_experiment,uncertain,0
V208,ev_quasi_experiment,uncertain,0
V219,ev_quasi_experiment,uncertain,0
V220,ev_quasi_experiment,uncertain,0
V221,ev_quasi_experiment,uncertain,0
V222,ev_quasi_experiment,uncertain,0
V223,ev_quasi_experiment,uncertain,0
V224,ev_quasi_experiment,uncertain,0
V226,ev_quasi_experiment,uncertain,0
V227,ev_quasi_experiment,uncertain,0
V204,ev_longitudinal_observational,uncertain,0
V208,ev_longitudinal_observational,uncertain,0
V215,ev_longitudinal_observational,1,0
V219,ev_longitudinal_observational,uncertain,0
V221,ev_longitudinal_observational,uncertain,0
V222,ev_longitudinal_observational,uncertain,0
V223,ev_longitudinal_observational,uncertain,0
V224,ev_longitudinal_observational,uncertain,0
V225,ev_longitudinal_observational,uncertain,0
V226,ev_longitudinal_observational,uncertain,0
V227,ev_longitudinal_observational,uncertain,0
V208,ev_cross_sectional_observational,uncertain,0
V215,ev_cross_sectional_observational,0,1
V219,ev_cross_sectional_observational,uncertain,0
V220,ev_cross_sectional_observational,uncertain,0
V221,ev_cross_sectional_observational,uncertain,0
V222,ev_cross_sectional_observational,uncertain,0
V223,ev_cross_sectional_observational,uncertain,0
V224,ev_cross_sectional_observational,uncertain,0
V225,ev_cross_sectional_observational,uncertain,0
V226,ev_cross_sectional_observational,uncertain,0
V227,ev_cross_sectional_observational,uncertain,0
V204,ev_formal_model,uncertain,0
V208,ev_formal_model,uncertain,0
V219,ev_formal_model,uncertain,0
V220,ev_formal_model,uncertain,0
V221,ev_formal_model,uncertain,0
V222,ev_formal_model,1,0
V223,ev_formal_model,1,0
V224,ev_formal_model,uncertain,0
V225,ev_formal_model,uncertain,0
V226,ev_formal_model,uncertain,0
V227,ev_formal_model,uncertain,0
V204,ev_simulation,uncertain,0
V208,ev_simulation,uncertain,0
V219,ev_simulation,uncertain,0
V220,ev_simulation,uncertain,0
V221,ev_simulation,uncertain,0
V222,ev_simulation,uncertain,0
V223,ev_simulation,uncertain,0
V224,ev_simulation,uncertain,0
V225,ev_simulation,uncertain,0
V226,ev_simulation,uncertain,0
V227,ev_simulation,uncertain,0
V204,ev_qualitative_process,uncertain,0
V205,ev_qualitative_process,0,1
V208,ev_qualitative_process,uncertain,0
V214,ev_qualitative_process,1,0
V219,ev_qualitative_process,uncertain,0
V220,ev_qualitative_process,uncertain,0
V221,ev_qualitative_process,uncertain,0
V222,ev_qualitative_process,uncertain,0
V223,ev_qualitative_process,uncertain,0
V224,ev_qualitative_process,uncertain,0
V225,ev_qualitative_process,uncertain,0
V226,ev_qualitative_process,uncertain,0
V227,ev_qualitative_process,uncertain,0
V204,ev_systematic_review,uncertain,0
V208,ev_systematic_review,uncertain,0
V216,ev_systematic_review,uncertain,1
V219,ev_systematic_review,uncertain,0
V220,ev_systematic_review,uncertain,0
V221,ev_systematic_review,uncertain,0
V222,ev_systematic_review,uncertain,0
V223,ev_systematic_review,uncertain,0
V224,ev_systematic_review,uncertain,0
V225,ev_systematic_review,uncertain,0
V226,ev_systematic_review,uncertain,0
V227,ev_systematic_review,uncertain,0
V204,ev_meta_analysis,uncertain,0
V208,ev_meta_analysis,uncertain,0
V219,ev_meta_analysis,uncertain,0
V220,ev_meta_analysis,uncertain,0
V221,ev_meta_analysis,uncertain,0
V222,ev_meta_analysis,uncertain,0
V223,ev_meta_analysis,uncertain,0
V224,ev_meta_analysis,uncertain,0
V225,ev_meta_analysis,uncertain,0
V226,ev_meta_analysis,uncertain,0
V227,ev_meta_analysis,uncertain,0
V204,ev_conceptual_theory,uncertain,0
V208,ev_conceptual_theory,uncertain,1
V214,ev_conceptual_theory,0,1
V220,ev_conceptual_theory,uncertain,0
V221,ev_conceptual_theory,uncertain,0
V222,ev_conceptual_theory,uncertain,1
V223,ev_conceptual_theory,uncertain,1
V225,ev_conceptual_theory,uncertain,0
V201,evidence_strength,strong,moderate
V203,evidence_strength,none,weak
V204,evidence_strength,moderate,uncertain
V205,evidence_strength,weak,uncertain
V206,evidence_strength,weak,uncertain
V207,evidence_strength,weak,uncertain
V208,evidence_strength,none,uncertain
V211,evidence_strength,moderate,weak
V212,evidence_strength,uncertain,none
V213,evidence_strength,none,uncertain
V218,evidence_strength,moderate,weak
V221,evidence_strength,moderate,strong
V222,evidence_strength,moderate,uncertain
V223,evidence_strength,moderate,uncertain
V224,evidence_strength,moderate,uncertain
V225,evidence_strength,strong,moderate
V228,evidence_strength,uncertain,moderate
V229,evidence_strength,none,weak
V230,evidence_strength,none,moderate
V203,result_direction,not_tested,supports_reversal
V205,result_direction,not_tested,supports_reversal
V211,result_direction,not_tested,supports_reversal
V212,result_direction,uncertain,not_tested
V214,result_direction,uncertain,supports_reversal
V215,result_direction,not_tested,supports_reversal
V225,result_direction,not_tested,supports_reversal
V227,result_direction,supports_reversal,not_tested
V228,result_direction,not_tested,supports_reversal
V202,normative_valence,not_normatively_classified,beneficial
V203,normative_valence,not_normatively_classified,mixed
V211,normative_valence,mixed,beneficial
V212,normative_valence,uncertain,not_normatively_classified
V214,normative_valence,not_normatively_classified,uncertain
V215,normative_valence,not_normatively_classified,uncertain
V219,normative_valence,harmful,not_normatively_classified
V221,normative_valence,beneficial,not_normatively_classified
V222,normative_valence,harmful,beneficial
V223,normative_valence,harmful,not_normatively_classified
V225,normative_valence,not_normatively_classified,mixed
V227,normative_valence,harmful,beneficial
