openalex_type,query_doi,candidate_count,openalex_id,rw_earliest_publication_date,openalex_publication_date,rw_journals,openalex_title,adjudication,note
erratum,10.1016/j.jbiomech.2010.06.001,1,https://openalex.org/W2153513470,2010-06-12,2010-07-11,Journal of Biomechanics,RETRACTED: Erratum to “Modelling subcortical bone in finite element analyses: A validation and sensitivity study in the macaque mandible” [J. Biomech. 43 (2010) 1603–1611],,
erratum,10.1021/la300239c,1,https://openalex.org/W2315252997,2012-03-15,2012-03-15,Langmuir,Correction to Preparation and Characterization of Poly(phthalazinone ether sulfone) Hollow Fiber Ultrafiltration Membranes,,
erratum,10.1021/jp210748g,1,https://openalex.org/W2313653453,2011-12-08,2011-12-08,The Journal of Physical Chemistry A,Correction to “Double-Roaming Dynamics in CH 3 CHO Dissociation”,,
erratum,10.1002/mma.10039,1,https://openalex.org/W4395079176,2024-04-23,2024-04-23,Mathematical Methods in the Applied Sciences,RETRACTED: Corrigendum to a fractional sideways problem in a one‐dimensional finite‐slab with deterministic and random interior perturbed data,,
erratum,10.2147/dddt.s78962,1,https://openalex.org/W4230881595,2014-11-06,2015-06-01,"Drug Design, Development and Therapy","Involvement of NF-κB and HSP70 signaling pathways in the apoptosis of MDA-MB-231 cells induced by a prenylated xanthone compound, α-mangostin, from Cratoxylum arborescens [Corrigendum]",,
erratum,10.1021/jo2004346,1,https://openalex.org/W2043927325,2011-05-06,2011-05-06,The Journal of Organic Chemistry,"Correction to Copper-Mediated Coupling of 1,1-Dibromo-1-alkenes with Imidazoles: A General Method for the Synthesis of N -Alkynylimidazoles",,
erratum,10.13464/j.scuxbyxb.2016.06.021,1,https://openalex.org/W2992897013,2016-11-01,2019-03-01,Sichuan Da Xue Xue Bao Yi Xue Ban,"[Retraction Note: Association of Gene Polymorphisms in Wnt Signal Pathway with Tuberculosis in Chinese Tibetan Population.2016,47(6):920-925.]",,
erratum,10.1016/j.bmc.2012.08.011,1,https://openalex.org/W1990148877,2011-07-19,2012-08-24,Bioorganic & Medicinal Chemistry,RETRACTED: Corrigendum to “3-Benzhydryl-4-piperidones as novel neurokinin-1 receptor antagonists and their efficient synthesis” [Bioorg. Med. Chem. 19 (2011) 5175–5182],,
erratum,10.1016/j.jphotochem.2021.113282,1,https://openalex.org/W3153929154,2021-05-22,2021-04-19,Journal of Photochemistry and Photobiology A: Chemistry,RETRACTED: Corrigendum to “Z-scheme g-C3N4 nanosheet/MgBi2O6 systems with the visible light response for impressive photocatalytic organic contaminants degradation” [J. Photochem. Photobiol. A: Chem. 406 (2021) 113023],,
erratum,10.1038/sj.mt.6300257,1,https://openalex.org/W2069332351,2007-07-17,2007-07-17,Molecular Therapy,Correction in Female PKU Mice by Repeated Administration of mPAH cDNA Using phiBT1 Integration System,,
erratum,10.3389/fonc.2022.917378,1,https://openalex.org/W4280633601,2022-05-19,2022-05-19,Frontiers in Oncology,RETRACTED: Corrigendum: Upregulation of CCT-3 Induces Breast Cancer Cell Proliferation Through miR-223 Competition and Wnt/b-Catenin Signaling Pathway Activation,,
erratum,10.1016/j.clnu.2019.03.004,1,https://openalex.org/W2911860719,2019-05-02,2019-03-14,Clinical Nutrition,Corrigendum to ‘ESPEN guideline: Clinical nutrition in inflammatory bowel disease’ [Clinical Nutrition 36 (2) (2016) 321–347],,
erratum,10.1186/s12882-026-04846-9,1,https://openalex.org/W7138980181,2026-03-18,2026-03-18,BMC Nephrology,Correction: Trends in chronic kidney disease mortality among patients with systemic lupus erythematosus: a U.S. population-based study (1999–2020),,
erratum,10.1016/j.actbio.2017.07.042,1,https://openalex.org/W2749143994,2017-08-12,2017-08-14,Acta Biomaterialia,RETRACTED: Corrigendum to “Functional quantum dot-siRNA nanoplexes to regulate chondrogenic differentiation of mesenchymal stem cells” [Acta Biomater. 46 (2016) 165–176],,
erratum,10.1016/j.biopha.2023.115061,1,https://openalex.org/W4382139036,2023-08-12,2023-06-26,Biomedicine & Pharmacotherapy,RETRACTED: Corrigendum to “vanillic acid attenuates effects of transient bilateral common carotid occlusion and reperfusion in rats” [Biomed. Pharmacother. 96 (2017) 667–674],,
erratum,10.1177/1352458515595191,1,https://openalex.org/W4236684986,2015-05-26,2015-11-04,Multiple Sclerosis Journal,Erratum,,
erratum,10.1177/0886109917743449,1,https://openalex.org/W4246314061,2017-11-30,2017-11-30,Affilia,Correction Notice,,
erratum,10.3389/fimmu.2020.00277,1,https://openalex.org/W3009006211,2019-12-10,2020-02-21,Frontiers in Immunology,RETRACTED: Corrigendum: Natural Killer Cell-Derived Exosomal miR-3607-3p Inhibits Pancreatic Cancer Progression by Targeting IL-26,,
erratum,10.1016/j.amc.2007.03.043,1,https://openalex.org/W2017759598,2007-03-27,2007-03-01,Applied Mathematics and Computation,REMOVED: Erratum to: “A necessary and sufficient criteria for the existence of the least squares estimate for a 3-parametric exponential function” [Appl. Math. Comput. 147 (2004) 1–15],,
erratum,10.1016/j.enpol.2006.10.013,1,https://openalex.org/W1988393190,2007-01-22,2007-01-01,Energy Policy,REMOVED: Corrigendum to “Environmental benefits of energy efficiency and renewable energy in Saudi Arabia's electric sector” [Energy Policy 34 (2006) 2–10],,
erratum,10.3389/fgene.2024.1360554,1,https://openalex.org/W4390942392,2024-01-17,2024-01-17,Frontiers in Genetics,RETRACTED: Corrigendum: Cytokinin and abiotic stress tolerance ‐What has been accomplished and the way forward?,,
erratum,10.1002/tox.23371,1,https://openalex.org/W4200334765,2021-09-12,2021-09-12,Environmental Toxicology,"Retracted: Erratum to: α, β‐Unsaturated Aldehyde Pollutant Acrolein Suppresses Cardiomyocyte Contractile Function: Role of TRPV1 and Oxidative Stress. Zhenbiao Wu, Emily Y. He, Glenda I. Scott, Jun Ren. PMID : 24376112",,
erratum,10.3389/fgene.2024.1360528,1,https://openalex.org/W4391360246,2024-01-30,2024-01-30,Frontiers in Genetics,Corrigendum: Cytokinins: a genetic target for increasing yield potential in the CRISPR era,,
erratum,10.1161/01.res.0000200087.72223.c0,1,https://openalex.org/W2214447091,2005-12-15,2005-12-15,Circulation Research,Correction,,
erratum,10.1016/j.actbio.2019.06.027,1,https://openalex.org/W4238762758,2019-07-02,2019-07-01,Acta Biomaterialia,RETRACTED: Corrigendum to “Functional quantum dot-siRNA nanoplexes to regulate chondrogenic differentiation of mesenchymal stem cells” [Acta Biomater. 46 (2016) 165–176],,
erratum,10.1016/j.cam.2019.112668,1,https://openalex.org/W2998920472,2020-01-09,2020-01-09,Journal of Computational and Applied Mathematics,RETRACTED: Corrigendum to “New numerical method for ordinary differential equations: Newton polynomial” [J. Comput. Appl. Math. (2019) 112622],,
other,10.3760/cma.j.issn.1003-9406.2009.03.007,1,https://openalex.org/W2419313323,2009-06-01,2009-06-01,Zhonghua Yi Xue Yi Chuan Xue Za Zhi: Zhonghua Yixue Yichuanxue Zazhi: Chinese Journal of Medical Genetics,[Clinical investigation of a family with brachydactyly type A1 and the identification of the disease gene].,,
other,10.3779/j.issn.1009-3419.2010.09.01,1,https://openalex.org/W1511595270,2010-09-01,2010-09-01,Zhongguo Fei Ai Za Zhi (Chinese journal of lung cancer),[Effect of Bufalin on proliferation and apoptosis of human non-small cell lung cancer A549 cell].,,
other,10.1007/s00125-014-3355-0,9,https://openalex.org/W2511686328,2014-08-19,2014-09-01,Diabetologia,"Health-related quality of life and the relation to metabolic syndrome, type 2 diabetes, degree of obesity and low-grade inflammation in obese individuals",,
other,10.1002/9783527683772.ch9,1,https://openalex.org/W2401988658,2016-04-01,2016-04-01,Nanomaterials and Nanocomposites: Zero‐ to Three‐Dimensional Materials and Their Composites,Metal‐Organic Frameworks (MOFs) and Its Composites THIS CHAPTER HAS BEEN WITHDRAWN,,
other,10.3760/cma.j.issn.0578-1310.2020.0008,1,https://openalex.org/W3009033663,2020-02-17,2020-02-17,Zhonghua Er Ke Za Zhi,[Retracted: Clinical and epidemiological characteristics of 34 children with 2019 novel coronavirus infection in Shenzhen].,,
other,10.3760/cma.j.cn112338-20200221-00144,1,https://openalex.org/W3009970283,2020-03-05,2020-03-05,Zhonghua Liu Xing Bing Xue Za Zhi: Chinese Journal of Epidemiology,[WITHDRAWN: Potential false-positive rate among the 'asymptomatic infected individuals' in close contacts of COVID-19 patients].,,
paratext,10.1080/02757540500290222,1,https://openalex.org/W2149985225,2005-05-01,2005-10-01,Chemistry and Ecology,Contents of heavy metals in marine seaweeds from the Egyptian coast of the Red Sea,,
paratext,10.13040/ijpsr.0975-8232.3(9).3106-15,1,https://openalex.org/W4231662610,2012-09-01,2012-09-01,International Journal of Pharmaceutical Sciences and Research,,,
paratext,10.2174/1389450123666220103185606,1,https://openalex.org/W4205234018,2021-12-30,2022-01-01,Current Drug Targets,Retracted: Meet the Editorial Board Member,,
paratext,10.1159/000268054,1,https://openalex.org/W4206048906,2009-12-14,2009-01-01,Transfusion Medicine and Hemotherapy (INFUSIONSTHERAPIE UND KLINISCHE ERNAHRUNG),"Title Page / Contents Vol. 36, Issue 6, December 2009",,
paratext,10.1155/2022/7707384,1,https://openalex.org/W4293858679,2022-08-30,2022-08-30,Journal of Sensors,Index Construction and Application of School-Enterprise Collaborative Education Platform Based on AHP Fuzzy Method in Double Creation Education Practice,,
paratext,10.6002/ect.tond-tdtd2017.o22,1,https://openalex.org/W2980792500,2018-03-01,2018-03-01,Experimental and Clinical Transplantation,Nursing Care After Kidney Transplant: Case Report.,,
paratext,10.3332/ecancer.2013.312,1,https://openalex.org/W2140851788,2013-04-30,2016-12-08,Ecancermedicalscience,ecancermedicalscience,,
paratext,10.1155/2022/6498468,1,https://openalex.org/W4290767345,2022-08-09,2022-08-09,Security and Communication Networks,Copyright Protection and Data Reliability of AI-Written Literary Creations in Smart City,,
reference-entry,10.1002/14651858.cd005519,1,https://openalex.org/W4250195246,2005-10-19,2005-10-07,Cochrane Database of Systematic Reviews,Tongue scraping for treating halitosis,,
reference-entry,10.1002/14651858.cd008143.pub2,1,https://openalex.org/W4255646770,2011-06-15,2011-06-08,Cochrane Database of Systematic Reviews,Targeting intensive glycaemic control versus targeting conventional glycaemic control for type 2 diabetes mellitus,,
reference-entry,10.1002/14651858.cd001724,1,https://openalex.org/W4230871076,1999-07-26,1999-07-26,Cochrane Database of Systematic Reviews,Guided tissue regeneration for periodontal infra-bony defects,,
reference-entry,10.1002/14651858.cd005538.pub2,1,https://openalex.org/W2133976149,2009-10-07,2009-10-07,Cochrane Database of Systematic Reviews,Diclofenac for acute pain in children,,
reference-entry,10.1002/14651858.cd006385.pub2,1,https://openalex.org/W1628369443,2011-05-11,2011-05-11,Cochrane Database of Systematic Reviews,Arthroscopy for temporomandibular disorders,,
reference-entry,10.1002/14651858.cd000027,1,https://openalex.org/W2135197435,1997-01-20,1997-01-20,Cochrane Database of Systematic Reviews,Antihistamines versus aspirin for itching in late pregnancy,,
reference-entry,10.1002/14651858.cd002301,1,https://openalex.org/W4240281435,2001-01-01,2001-04-02,Cochrane Database of Systematic Reviews,Psychological interventions for non-ulcer dyspepsia,,
reference-entry,10.1002/14651858.cd006698,1,https://openalex.org/W2152916838,2007-07-18,2007-07-03,Cochrane Database of Systematic Reviews,Interventions for replacing missing teeth: 1- versus 2-stage implant placement,,
reference-entry,10.1002/14651858.cd007290,1,https://openalex.org/W1518799908,2008-07-16,2008-06-30,Cochrane Database of Systematic Reviews,Health examination for preventing occupational injuries and disease in workers,,
reference-entry,10.1002/14651858.cd001056,1,https://openalex.org/W2141017563,2001-07-23,2001-07-23,Cochrane Database of Systematic Reviews,Periconceptional supplementation with folate and/or multivitamins for preventing neural tube defects,,
reference-entry,10.1002/14651858.cd004193,1,https://openalex.org/W4242221328,2003-04-22,2003-04-22,Cochrane Database of Systematic Reviews,Anticholinergics for urinary symptoms in multiple sclerosis,,
reference-entry,10.1002/14651858.cd001130,1,https://openalex.org/W1919034455,2005-04-20,2003-11-20,Cochrane Database of Systematic Reviews,Drugs versus placebo for dysthymia,,
reference-entry,10.1002/14651858.cd003979.pub2,1,https://openalex.org/W2100231570,2004-10-18,2004-10-14,Cochrane Database of Systematic Reviews,Rehabilitation after surgery for flexor tendon injuries in the hand,,
reference-entry,10.1002/14651858.cd002966.pub2,1,https://openalex.org/W1537918373,2001-01-22,2001-01-22,Cochrane Database of Systematic Reviews,Metformin for type 2 diabetes mellitus,,
reference-entry,10.1002/14651858.cd003428.pub2,1,https://openalex.org/W1486609386,2005-10-19,2005-10-07,Cochrane Database of Systematic Reviews,Inhaled bronchodilators for cystic fibrosis,,
reference-entry,10.1002/14651858.cd005168,1,https://openalex.org/W1601796124,2005-01-24,2005-01-17,Cochrane Database of Systematic Reviews,Antiglucocorticoid treatments in mood disorders: efficacy and safety,,
reference-entry,10.1002/14651858.cd004193.pub2,1,https://openalex.org/W1920922907,2009-01-21,2009-01-21,Cochrane Database of Systematic Reviews,Anticholinergics for urinary symptoms in multiple sclerosis,,
reference-entry,10.1002/14651858.cd003019,1,https://openalex.org/W4214861861,2002-04-22,2002-04-22,Cochrane Database of Systematic Reviews,Dietary interventions for recurrent abdominal pain (RAP) in childhood,,
reference-entry,10.1002/14651858.cd005316,1,https://openalex.org/W4243047850,2005-04-20,2005-04-20,Cochrane Database of Systematic Reviews,Exercise for treating isolated anterior cruciate ligament injuries in adults,,
reference-entry,10.1002/14651858.cd005452,1,https://openalex.org/W4247136999,2005-07-20,2005-07-04,Cochrane Database of Systematic Reviews,Gabapentin for acute and chronic pain,,
reference-entry,10.1002/14651858.cd003471,1,https://openalex.org/W1558118965,2001-11-27,2001-11-27,Cochrane Database of Systematic Reviews,Ergonomic and physiotherapeutic interventions for preventing and treating upper extremity work-related disorders in adults,,
reference-entry,10.1002/14651858.cd000319,1,https://openalex.org/W2949484895,2003-01-20,2003-01-20,Cochrane Database of Systematic Reviews,Medicinal and Injection therapies for mechanical neck disorders,,
reference-entry,10.1002/14651858.cd004631.pub4,1,https://openalex.org/W1939614345,2015-02-23,2015-02-23,Cochrane Database of Systematic Reviews,Surgery for thumb (trapeziometacarpal joint) osteoarthritis,,
reference-entry,10.1002/14651858.cd003711.pub4,1,https://openalex.org/W4211110612,2012-11-14,2012-11-08,Cochrane Database of Systematic Reviews,Herbal medicines for viral myocarditis,,
reference-entry,10.1002/14651858.cd000496,1,https://openalex.org/W2156467130,1999-07-26,1999-07-26,Cochrane Database of Systematic Reviews,Lidocaine-prilocaine cream for analgesia during circumcision in newborn boys,,
reference-entry,10.1002/14651858.cd001727.pub4,1,https://openalex.org/W1628688554,2008-07-16,2008-06-30,Cochrane Database of Systematic Reviews,Decongestants and antihistamines for acute otitis media in children,,
reference-entry,10.1002/14651858.cd004576.pub2,1,https://openalex.org/W1901058032,2008-04-23,2008-04-21,Cochrane Database of Systematic Reviews,Interventions for treating wrist fractures in children,,
reference-entry,10.1002/14651858.cd003808,1,https://openalex.org/W4255390287,2002-07-22,2002-07-22,Cochrane Database of Systematic Reviews,Complete or ultraconservative removal of decayed tissue in unfilled teeth,,
reference-entry,10.1002/14651858.cd000416,1,https://openalex.org/W2151704682,2003-07-21,2003-07-21,Cochrane Database of Systematic Reviews,Interventions for treating plantar heel pain,,
reference-entry,10.1002/14651858.cd001042,1,https://openalex.org/W2165001366,1998-07-27,1998-07-27,Cochrane Database of Systematic Reviews,Cernilton for benign prostatic hyperplasia,,
reference-entry,10.1002/14651858.cd004631.pub3,1,https://openalex.org/W4242837855,2009-10-07,2009-10-07,Cochrane Database of Systematic Reviews,Surgery for thumb (trapeziometacarpal joint) osteoarthritis,,
reference-entry,10.1002/14651858.cd003630,1,https://openalex.org/W1557117007,2002-04-22,2002-04-22,Cochrane Database of Systematic Reviews,Endoscopic retrograde cholangiopancreatography in gallstone acute pancreatitis,,
reference-entry,10.1002/14651858.cd008143.pub3,1,https://openalex.org/W4230682689,2013-11-11,2013-11-11,Cochrane Database of Systematic Reviews,Targeting intensive glycaemic control versus targeting conventional glycaemic control for type 2 diabetes mellitus,,
reference-entry,10.1002/14651858.cd003498,1,https://openalex.org/W4243954025,2001-11-28,2001-11-28,Cochrane Database of Systematic Reviews,Gluten- and casein-free diets for autistic spectrum disorder,,
reference-entry,10.1002/14651858.cd002915,1,https://openalex.org/W2171227218,2003-07-21,2003-07-21,Cochrane Database of Systematic Reviews,Oral sumatriptan for acute migraine,,
reference-entry,10.1002/14651858.cd004569.pub2,1,https://openalex.org/W4247689733,2007-10-17,2007-10-10,Cochrane Database of Systematic Reviews,Second or third additional chemotherapy drug for non-small cell lung cancer in patients with advanced disease,,
reference-entry,10.1002/14651858.cd002766,1,https://openalex.org/W4246473264,2003-10-20,2003-10-20,Cochrane Database of Systematic Reviews,Therapeutic touch for healing acute wounds,,
reference-entry,10.1002/14651858.cd008493.pub3,1,https://openalex.org/W4238177656,2015-08-13,2015-08-13,Cochrane Database of Systematic Reviews,Preoperative statin therapy for patients undergoing cardiac surgery,,
reference-entry,10.1002/14651858.cd003643,1,https://openalex.org/W4239236047,2002-04-22,2002-04-22,Cochrane Database of Systematic Reviews,Immunosuppressant and immunomodulatory treatment for dermatomyositis and polymyositis,,
reference-entry,10.1002/14651858.cd003731.pub2,1,https://openalex.org/W1676445102,2005-04-20,2005-04-20,Cochrane Database of Systematic Reviews,Universal neonatal hearing screening versus selective screening as part of the management of childhood deafness,,
reference-entry,10.1002/14651858.cd002778.pub2,1,https://openalex.org/W1923301130,2004-01-26,2004-01-26,Cochrane Database of Systematic Reviews,Stabilisation splint therapy for temporomandibular pain dysfunction syndrome,,
reference-entry,10.1002/14651858.cd001268.pub2,1,https://openalex.org/W4230834696,2005-07-20,2005-07-04,Cochrane Database of Systematic Reviews,Chest radiograph in acute respiratory infections in children,,
reference-entry,10.1002/14651858.cd008263,1,https://openalex.org/W1575068868,2010-01-20,2010-01-18,Cochrane Database of Systematic Reviews,Topical and systemic antifungal therapy for the symptomatic treatment of chronic rhinosinusitis and allergic fungal sinusitis,,
reference-entry,10.1002/14651858.cd004486.pub2,1,https://openalex.org/W4238967266,2004-04-19,2004-04-19,Cochrane Database of Systematic Reviews,Domestic violence screening and intervention programmes for adults with dental or facial injury,,
reference-entry,10.1002/14651858.cd000047,1,https://openalex.org/W2137162915,1996-04-22,1996-04-22,Cochrane Database of Systematic Reviews,Caesarean delivery for the second twin,,
reference-entry,10.1002/14651858.cd000319.pub2,1,https://openalex.org/W4245135279,2003-07-21,2003-07-21,Cochrane Database of Systematic Reviews,Medicinal and Injection therapies for mechanical neck disorders,,
reference-entry,10.1002/14651858.cd004347,1,https://openalex.org/W4233050319,2003-05-22,2003-05-22,Cochrane Database of Systematic Reviews,Direct versus indirect veneer restorations for intrinsic dental stains,,
reference-entry,10.1002/14651858.cd003244.pub2,1,https://openalex.org/W4234360898,2007-04-18,2007-04-03,Cochrane Database of Systematic Reviews,Medical treatments in the short term management of reflux oesophagitis,,
reference-entry,10.1002/14651858.cd003347.pub2,1,https://openalex.org/W4234343631,2011-07-06,2011-07-04,Cochrane Database of Systematic Reviews,Radioisotopes for metastatic bone pain,,
reference-entry,10.1002/14651858.cd003019.pub2,1,https://openalex.org/W4255568119,2008-01-23,2008-01-23,Cochrane Database of Systematic Reviews,Dietary interventions for recurrent abdominal pain (RAP) and irritable bowel syndrome (IBS) in childhood,,
retraction,10.2174/092986710790112611,1,https://openalex.org/W1529244419,2010-02-01,2009-12-21,Current Medicinal Chemistry,Retraction Notice: The Significance of Neuroglobin in the Brain,,
retraction,10.1016/j.avb.2021.101682,1,https://openalex.org/W3211372163,2021-11-06,2021-11-01,Aggression and Violent Behavior,WITHDRAWN: An effective analyzing of direct and indirect adversity for child depressive syndromes,,
retraction,10.1016/j.molmed.2019.01.004,1,https://openalex.org/W2911503485,2019-02-05,2019-02-01,Trends in Molecular Medicine,WITHDRAWN: 2018 Editorial Board Top Ten,,
retraction,10.1016/b978-0-12-803365-4.00046-4,1,https://openalex.org/W2782545937,2015-08-07,2015-01-01,Engineering for Storage of Fruits and Vegetables,WITHDRAWN: MAP Design with O2 Modeling (Experiments on Tomato Fruit),,
retraction,10.1002/jcb.26634,1,https://openalex.org/W4230545608,2017-12-21,2017-12-22,Journal of Cellular Biochemistry,"Retraction: Xianzheng Gao, Shenglei Li, Wencai Li, Guannan Wang, Wugan Zhao, Jing Han, Changying Diao, Xiaohui Wang, and Mingzhi Zhang,MicroRNA‐539 suppresses tumor cell growth by targeting the WNT8B gene in non‐small cell lung cancer. J. Cell. Biochem. Accepted Article doi.org/10.1002/jcb.26634.",,
retraction,10.1063/5.0182179,1,https://openalex.org/W4390119616,2023-12-22,2023-01-01,AIP Conference Proceedings,Retraction: Numerical analysis of steel coupling beam with flat and corrugated web,,
retraction,10.1016/j.avb.2021.101634,1,https://openalex.org/W3168046775,2021-06-08,2021-06-01,Aggression and Violent Behavior,WITHDRAWN: The Distributed Hybrid Mathematical Model to analyze the theory of law and social control—A systematic case study approach,,
retraction,10.1016/j.psyneuen.2015.07.570,1,https://openalex.org/W2201926942,2015-08-08,2015-08-07,Psychoneuroendocrinology,WITHDRAWN: Assessing cortisol from hair samples in a large observational cohort: Whitehall II,,
retraction,10.1002/suco.202100736,1,https://openalex.org/W4200455023,2021-12-06,2021-12-06,Structural Concrete,Retraction: To evaluate the performance of waste marble powder and wheat straw ash in steel fiber reinforced concrete,,
retraction,10.1016/j.gene.2019.05.017,1,https://openalex.org/W2944267789,2019-05-08,2019-05-01,Gene,WITHDRAWN: Knockdown of lncRNA AK139128 alleviates cardiomyocyte autophagy and apoptosis of induced by myocardial hypoxia-reoxygenation injury via targeting miR-499/FOXO4 axis,,
retraction,10.1016/j.jvolgeores.2015.01.001,1,https://openalex.org/W4205236544,2015-01-23,2015-01-23,Journal of Volcanology and Geothermal Research,"WITHDRAWN: Volcano-sedimentary characteristics in the Abu Treifiya Basin, Cairo–Suez District, Egypt: Example of dynamics and fluidization over sedimentary and volcaniclastic beds by emplacement of syn-volcanic basaltic rocks",,
retraction,10.1016/j.redox.2015.01.020,1,https://openalex.org/W4243724942,2015-05-21,2015-05-21,Redox Biology,WITHDRAWN: Editor's Forum,,
retraction,10.1016/j.agrformet.2015.07.014,1,https://openalex.org/W4241508213,2015-08-11,2015-01-01,Agricultural and Forest Meteorology,WITHDRAWN: Peer review report 1 On “Carbon and water fluxes in an arid-zone Acacia savanna woodland: an analyses of seasonal patterns and responses to rainfall events”,,
retraction,10.1016/j.injury.2019.08.005,1,https://openalex.org/W2964504159,2019-08-06,2019-08-01,Injury,WITHDRAWN: Internal fixation of unstable radial head fracture: A comparison of metallic and biodegradable implants,,
retraction,10.1016/b978-0-08-011869-7.50018-7,1,https://openalex.org/W4210641562,2013-11-17,1966-01-01,Irreversible Processes,WITHDRAWN: Index,,
retraction,10.1016/j.japh.2020.04.004,1,https://openalex.org/W3036219784,2020-04-10,2020-04-01,Journal of the American Pharmacists Association,WITHDRAWN: Managing college operations during the coronavirus outbreak,,
retraction,10.31463/aicusbed.674956,1,https://openalex.org/W3022233523,2020-04-01,2020-05-06,Ağrı İbrahim Çeçen Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,RETRACTION: VIRTUAL COMMUNITY (From Historical and Sociological Reality to Virtuality of the Digital Age: Virtualization of the Community),,
retraction,10.3934/dcdss.2019087,1,https://openalex.org/W2901312027,2018-11-01,2018-11-27,Discrete and Continuous Dynamical Systems,"Retraction: Xiaohong Zhu, Lihe Zhou, Zili Yang and Joyati Debnath, A new text information extraction algorithm of video image under multimedia environment",,
retraction,10.1063/5.0182269,1,https://openalex.org/W4390100869,2023-12-22,2023-01-01,AIP Conference Proceedings,Retraction: Numerical solution of cross flow heat exchanger with metallic foam,,
retraction,10.1016/j.phytol.2021.02.011,1,https://openalex.org/W3184136787,2021-07-22,2021-07-23,Phytochemistry Letters,WITHDRAWN: Alcohol exacerbated biochemical and biophysical alterations in liver mitochondrial membrane of diabetic male wistar rats – A possible amelioration by green tea,,
retraction,10.1002/ddr.21876,1,https://openalex.org/W3198986237,2021-09-15,2021-09-15,Drug Development Research,Retraction,,
