case_id,name,official_class,primary_body,source_key,source_tier,ingestion_status,mass_kg,mass_sigma_kg,mass_value_type,gm_km3_s2,gm_sigma_km3_s2,gm_ref,mean_radius_km,radius_sigma_km,radius_value_type,density_g_cm3,density_sigma_g_cm3,rotation_period_h,orbital_period_days,geometric_albedo,retrieved_date,notes
M11,Dione,satellite,Saturn,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,1.095486717708224e+21,749142232144194.9,DERIVED_FROM_GM_CODATA2018,73.11607,0.00005,SAT441,561.4,0.4,DIRECT_TABLE,1.4781,0.0032,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M12,Rhea,satellite,Saturn,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,2.3064853243036725e+21,6142966303582398,DERIVED_FROM_GM_CODATA2018,153.94175,0.00041,SAT441,763.5,0.6,DIRECT_TABLE,1.2372,0.0029,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M13,Titan,satellite,Saturn,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,1.3451803335181217e+23,3745711160720974.5,DERIVED_FROM_GM_CODATA2018,8978.1371,0.00025,SAT441,2574.76,0.02,DIRECT_TABLE,1.8814,0.0001,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M14,Iapetus,satellite,Saturn,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,1.805659170250064e+21,36258484035779030,DERIVED_FROM_GM_CODATA2018,120.51511,0.00242,SAT441,734.3,2.8,DIRECT_TABLE,1.0887,0.0125,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M15,Miranda,satellite,Uranus,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,64426231964400755000,2996568928576780000,DERIVED_FROM_GM_CODATA2018,4.3,0.2,URA111,235.8,0.7,DIRECT_TABLE,1.178,0.053,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M16,Ariel,satellite,Uranus,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,1.2510675276808056e+21,20975982500037456000,DERIVED_FROM_GM_CODATA2018,83.5,1.4,URA111,578.9,0.6,DIRECT_TABLE,1.539,0.026,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M17,Umbriel,satellite,Uranus,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,1.2750400791094197e+21,28467404821479404000,DERIVED_FROM_GM_CODATA2018,85.1,1.9,URA111,584.7,2.8,DIRECT_TABLE,1.523,0.041,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M18,Titania,satellite,Uranus,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,3.3996074494703567e+21,61429663035823970000,DERIVED_FROM_GM_CODATA2018,226.9,4.1,URA111,788.9,1.8,DIRECT_TABLE,1.653,0.032,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M19,Oberon,satellite,Uranus,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,3.075978005184064e+21,86900498928726600000,DERIVED_FROM_GM_CODATA2018,205.3,5.8,URA111,761.4,2.6,DIRECT_TABLE,1.664,0.05,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M20,Triton,satellite,Neptune,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,2.1402925550244972e+22,9229881785355768000,DERIVED_FROM_GM_CODATA2018,1428.49546,0.61603,NEP097,1352.6,2.4,DIRECT_TABLE,2.0649,0.011,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M21,Charon,satellite,Pluto,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,1.5896798166099815e+21,4494853392865169400,DERIVED_FROM_GM_CODATA2018,106.1,0.3,PLU060,606,0.5,DIRECT_TABLE,1.853,0.004,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
S01,Vesta,small_body,Sun,VESTA_DAWN_2013,MISSION_DIRECT,INGESTED_PRIORITY10,2.59076e20,1e15,MISSION_DIRECT,,,,262.7,0.1,MISSION_DIRECT_MEAN_RADIUS,3.456,0.03456,,,,2026-09-24,Dawn mass and mean radius; source bulk density retained. Spherical derived density is diagnostic only.
S02,Pallas,small_body,Sun,PALLAS_CARRY_2010,PEER_REVIEWED_DYNAMICS,INGESTED_PRIORITY10,2.386164e20,5.96541e19,SOURCE_DERIVED_SOLAR_MASS_UNIT_CONVERSION,,,,256.5526189,1.9230336,SOURCE_DERIVED_ELLIPSOID_EQ_RADIUS,3.4,0.9,,,,2026-09-24,"Mass converted from (1.2±0.3)e-10 solar masses with Msun=1.98847e30 kg; equivalent radius derived from 275±4,258±3,238±3 km ellipsoid radii."
S03,Hygiea,small_body,Sun,HYGIEA_SHAPE_2019,PEER_REVIEWED_DYNAMICS,INGESTED_PRIORITY10,8.320780612e19,1.339191220e19,SOURCE_DERIVED_DENSITY_RADIUS,,,,217,7,DIRECT_VOLUME_EQ_RADIUS,1.944,0.250,,,,2026-09-24,Mass derived from published volume-equivalent radius and density with first-order uncertainty propagation.
S04,Interamnia,small_body,Sun,INTERAMNIA_AA_2020,PEER_REVIEWED_DYNAMICS,INGESTED_PRIORITY10,3.793831723e19,1.319067973e19,SOURCE_DERIVED_DENSITY_RADIUS,,,,166,3,DIRECT_VOLUME_EQ_RADIUS,1.98,0.68,,,,2026-09-24,Mass derived from D=332±6 km and rho=1.98±0.68 g/cm3 with first-order uncertainty propagation; agrees with paper table mass scale.
S05,Eros,small_body,Sun,NASA_PDS_EROS,MISSION_DIRECT,INGESTED_PRIORITY10,6.687e15,3e12,MISSION_DIRECT,,,,8.424493849,0.031577553,SOURCE_DERIVED_MASS_DENSITY_EQ_RADIUS,2.67,0.03,,,,2026-09-24,NEAR/PDS direct mass and density; volume-equivalent radius derived from mass/density to avoid treating bounding dimensions as an ellipsoid.
S06,Bennu,small_body,Sun,NASA_PDS_BENNU,MISSION_DIRECT,INGESTED_PRIORITY10,7.329e10,9e7,MISSION_DIRECT_PDS,,,,0.244866197,0.000132719,SOURCE_DERIVED_VOLUME_EQ_RADIUS,1.190,0.013,,,,2026-09-24,Current PDS mass/volume/density; radius derived from V=0.0615±0.0001 km3.
S07,Ryugu,small_body,Sun,NASA_PDS_RYUGU,MISSION_DIRECT,INGESTED_PRIORITY10,4.50e11,6e9,MISSION_DIRECT_PDS,,,,0.448143994,0.001981185,SOURCE_DERIVED_VOLUME_EQ_RADIUS,1.19,0.03,,,,2026-09-24,"Hayabusa2/PDS mass, volume, density; radius derived from V=0.377±0.005 km3."
S08,Itokawa,small_body,Sun,NASA_PDS_ITOKAWA;ITOKAWA_SCIENCE_2006,MISSION_DIRECT,INGESTED_PRIORITY10,3.51e10,1.05e9,MISSION_DIRECT_HAYABUSA,,,,0.163773289,0.002670217,SOURCE_DERIVED_VOLUME_EQ_RADIUS,1.90,0.13,,,,2026-09-24,Hayabusa mass and density; equivalent radius derived from V=1.84±0.09e7 m3.
S09,Quaoar,small_body,Sun,QUAOAR_APJ_2026;QUAOAR_Q_RATIO_2016,SOURCE_DERIVED,INGESTED_PRIORITY10,1.207283614e21,7.630369973e19,SOURCE_DERIVED_SYSTEM_MASS_Q,,,,547.2,2.3,DIRECT_OCCULTATION_EQ_RADIUS,1.760,0.109,,,,2026-09-24,2026 occultation gives size and system-mass-based density. Primary mass derived from system mass inferred from rho*V and Weywot satellite-to-total q=0.00053±0.0002; system mass is not silently substituted.
S10,Orcus,small_body,Sun,ORCUS_BROWN_2010;ORCUS_ALMA_2023;ORCUS_SIZE_2019,SOURCE_DERIVED,INGESTED_PRIORITY10,5.448275862e20,9.433053095e18,SOURCE_DERIVED_SYSTEM_MASS_RATIO,,,,458.5,12.5,DIRECT_THERMAL_DIAMETER_HALVED,1.4,0.2,,,,2026-09-24,Primary mass derived from system mass 6.32±0.01e20 kg and measured Vanth/Orcus mass ratio 0.16±0.02; D=917±25 km used for radius.
S11,Sedna,small_body,Sun,JPL_SBDB_API_PLANNED,PENDING,NA_NOT_INGESTED,,,,,,,,,,,,,,,2026-09-24,Reserved for JPL SBDB API lookup; no numeric value entered until a machine-readable response is captured.
S12,Gonggong,small_body,Sun,JPL_SBDB_API_PLANNED,PENDING,NA_NOT_INGESTED,,,,,,,,,,,,,,,2026-09-24,Reserved for JPL SBDB API lookup; no numeric value entered until a machine-readable response is captured.
S13,Salacia,small_body,Sun,JPL_SBDB_API_PLANNED,PENDING,NA_NOT_INGESTED,,,,,,,,,,,,,,,2026-09-24,Reserved for JPL SBDB API lookup; no numeric value entered until a machine-readable response is captured.
S14,Varda,small_body,Sun,JPL_SBDB_API_PLANNED,PENDING,NA_NOT_INGESTED,,,,,,,,,,,,,,,2026-09-24,Reserved for JPL SBDB API lookup; no numeric value entered until a machine-readable response is captured.
S15,Ixion,small_body,Sun,JPL_SBDB_API_PLANNED,PENDING,NA_NOT_INGESTED,,,,,,,,,,,,,,,2026-09-24,Reserved for JPL SBDB API lookup; no numeric value entered until a machine-readable response is captured.
S16,Varuna,small_body,Sun,JPL_SBDB_API_PLANNED,PENDING,NA_NOT_INGESTED,,,,,,,,,,,,,,,2026-09-24,Reserved for JPL SBDB API lookup; no numeric value entered until a machine-readable response is captured.
