case_id,name,official_class,composition_state,composition_value,composition_source_key,atmosphere_state,atmosphere_value,atmosphere_source_key,differentiation_state,differentiation_value,differentiation_source_key,geologic_activity_state,geologic_activity_value,geologic_activity_source_key,ocean_state,ocean_value,ocean_source_key,tidal_heating_state,tidal_heating_value,tidal_heating_source_key,coding_batch,coding_notes,review_status
M06,Ganymede,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M07,Callisto,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M08,Mimas,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M09,Enceladus,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M10,Tethys,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M11,Dione,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M12,Rhea,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M13,Titan,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M14,Iapetus,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M15,Miranda,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M16,Ariel,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M17,Umbriel,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M18,Titania,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M19,Oberon,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M20,Triton,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M21,Charon,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S01,Vesta,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S02,Pallas,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S03,Hygiea,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S04,Interamnia,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S05,Eros,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S06,Bennu,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S07,Ryugu,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S08,Itokawa,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S09,Quaoar,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S10,Orcus,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S11,Sedna,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S12,Gonggong,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S13,Salacia,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S14,Varda,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S15,Ixion,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
S16,Varuna,small_body,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
