person_id,canonical_name,first_status,second_status,first_ids,second_ids,state_match,id_set_match,extra_ids_second,missing_ids_second,notes
cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,VERIFIED_CLUSTER,A5073627948,A5073627948;A5106979614,False,,A5106979614,,"Evidence: Wikidata lists otolaryngology professor. OpenAlex A5073627948 matches name, field, many cochlear‑implant works; A5106979614 same name variant with related surgical paper. No conflicts. Sources: Wikidata Q23059458; OpenAlex A5073627948; A5106979614."
cv_Q19850025,Oskar Simony,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5012920577;A5071357435,A5012920577;A5071357435;A5149748217,True,False,A5149748217,,"Evidence: Wikidata lists mathematician, physicist, explorer, botanist (1852‑1915). OpenAlex A5012920577 and A5071357435 share identical topology paper (duplicate); A5149748217 on wood measurement aligns with botanist/engineering interests. All refer to same Oskar Simony. Sources: Wikidata Q19850025; OpenAlex A5012920577; A5071357435; A5149748217."
cv_Q3385700,Pierre L. G. Benoit,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5063335980;A5133441731,A5063335980;A5072950904;A5133441731,True,False,A5072950904,,"Evidence: Wikidata shows Belgian zoologist/arachnologist (1920‑1995). OpenAlex IDs A5063335980, A5072950904, A5133441731 all publish African insect/arachnid works (1956‑1986) matching field and era. No conflicting affiliations. Sources: OpenAlex author pages, VIAF."
cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,AMBIGUOUS_COLLISION,A5035950863;A5100268971;A5103302324;A5104375058;A5104676356;A5104740538;A5104793263,,False,,,A5035950863;A5100268971;A5103302324;A5104375058;A5104676356;A5104740538;A5104793263,"Evidence: Wikidata identifies Austrian mathematician (1909‑1988). OpenAlex ID A5035950863 contains his 1950s‑60s math papers but also many unrelated cardiology works, indicating a merged profile. Separate math‑only IDs exist (A5103302324, A5100268971) but are fragmentary. Cannot isolate full identity confidently."
cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,VERIFIED_SINGLE,A5006728685;A5075417166,A5075417166,False,,,A5006728685,"Evidence: Wikidata lists Sandra Leiblum (1943‑2010), psychologist/sex educator. OpenAlex author A5075417166 has extensive sexual dysfunction publications matching her known work. Other ID A5006728685 shows unrelated 1967 memory paper, likely a different Sandra. Chosen best match."
cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,VERIFIED_SINGLE,A5005844820;A5067845805,A5067845805,False,,,A5005844820,"Evidence: Wikidata: Michael Theunissen (1932‑2015), German philosopher. OpenAlex author A5067845805 publishes philosophy works (Nietzsche, Husserl, Heidegger) matching field and dates. Other IDs have unrelated science or AI topics, indicating collisions. Selected correct philosopher profile."
cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,VERIFIED_SINGLE,A5073210039;A5096507866;A5110164869,A5073210039,False,,,A5096507866;A5110164869,"Evidence: VIAF 34528358, historian, Peru. OpenAlex: ORCID present, works on Peruvian history, topics match. Conflicts: other IDs are different fields. Sources: VIAF, OpenAlex."
cv_Q1912572,Max Gerlach,AMBIGUOUS_COLLISION,NO_GRAPH_RECORD,,,False,,,,"Evidence: VIAF 80774160, chemist 1861‑1940. OpenAlex candidates are modern biomedical or physics authors, none match historic chemistry. Conflicts: candidate topics/years incompatible. Sources: VIAF, OpenAlex."
cv_Q16945536,Algot Werin,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5040398759;A5076154763,A5040398759;A5076154763;A5148273427,True,False,A5148273427,,"Evidence: Wikidata lists Werin as literary historian (1892‑1975). OpenAlex IDs A5040398759 (1962 Ekelund), A5076154763 (1938 Idealism), A5148273427 (editorial Samlade skrifter) match his field and career dates. A5045229833 focuses German literature, likely a different scholar. Sources: OpenAlex author pages, VIAF 52493591."
cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5028266044;A5074476770;A5081201328,A5028266044;A5074476770,True,False,,A5081201328,"Evidence: Wikidata shows Tautscher as Austrian economist (1906‑1976). OpenAlex A5028266044 (13 econ works 1941‑1978) and A5074476770 (1961 handbook) align with his career. A5081201328 (Spanish labor‑law focus) mismatches field, excluded. Sources: OpenAlex author pages, VIAF 29904772."
cv_Q5294283,Donald E. Graves,EXCLUDED_IDENTITY_ERROR,NO_GRAPH_RECORD,,,False,,,,"Evidence: Wikidata describes Graves as American intelligence analyst (1929‑2008). All OpenAlex candidates (A5078823003, A5099221401, A5099041810) publish Canadian‑history works, unrelated to intelligence analysis. No suitable OpenAlex record found. Sources: OpenAlex author pages, Wikidata."
cv_Q1393663,Peter Rice,AMBIGUOUS_COLLISION,NO_GRAPH_RECORD,,,False,,,,"Evidence: Wikidata describes Irish structural engineer (1935‑1992). OpenAlex candidates are in bioinformatics, immunology, chemistry, not engineering. No matching author record. Conflicts: none. Sources: Wikidata Q1393663, OpenAlex author list."
cv_Q15440160,Hans Arnsperger,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5011649383;A5098595922,A5011649383;A5014453695;A5098595922,True,False,A5014453695,,"Evidence: VIAF, ISNI list internist. OpenAlex: three IDs (Hans Arnsperger, Hans Arnsperger, Hans Emil Rudolph Arnsperger) have early 1900s medical imaging works consistent with internist career. Conflicts: none. Sources: VIAF 171930742, OpenAlex author pages."
