tradition_a,tradition_b,relation_class,same_macrofamily,same_branch,same_language_continuum,quantitative_ready,numeric_distance,notes
AKK_MB_SB,EGY_MK,same_macrofamily,true,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
AKK_MB_SB,EGY_NK,same_macrofamily,true,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
AKK_MB_SB,VED_RV,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
AKK_MB_SB,GRC_ARCH,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
AKK_MB_SB,HEB_GEN,same_macrofamily,true,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
AKK_MB_SB,CHN_WS_HAN,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
HUR_HIT_LBA,UGARIT_LBA,composite_requires_source_layer_split,,,,false,,HUR_HIT composite must be split into Hittite/Hurrian source layers before ancestry modeling.
HUR_HIT_LBA,EGY_MK,composite_requires_source_layer_split,,,,false,,HUR_HIT composite must be split into Hittite/Hurrian source layers before ancestry modeling.
HUR_HIT_LBA,EGY_NK,composite_requires_source_layer_split,,,,false,,HUR_HIT composite must be split into Hittite/Hurrian source layers before ancestry modeling.
HUR_HIT_LBA,VED_RV,composite_requires_source_layer_split,,,,false,,HUR_HIT composite must be split into Hittite/Hurrian source layers before ancestry modeling.
HUR_HIT_LBA,GRC_ARCH,composite_requires_source_layer_split,,,,false,,HUR_HIT composite must be split into Hittite/Hurrian source layers before ancestry modeling.
HUR_HIT_LBA,HEB_GEN,composite_requires_source_layer_split,,,,false,,HUR_HIT composite must be split into Hittite/Hurrian source layers before ancestry modeling.
HUR_HIT_LBA,CHN_WS_HAN,composite_requires_source_layer_split,,,,false,,HUR_HIT composite must be split into Hittite/Hurrian source layers before ancestry modeling.
UGARIT_LBA,EGY_MK,same_macrofamily,true,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
UGARIT_LBA,EGY_NK,same_macrofamily,true,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
UGARIT_LBA,VED_RV,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
UGARIT_LBA,GRC_ARCH,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
UGARIT_LBA,HEB_GEN,same_branch,true,true,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
UGARIT_LBA,CHN_WS_HAN,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
EGY_MK,EGY_NK,same_language_continuum,true,true,true,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
EGY_MK,VED_RV,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
EGY_MK,GRC_ARCH,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
EGY_MK,HEB_GEN,same_macrofamily,true,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
EGY_MK,CHN_WS_HAN,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
EGY_NK,VED_RV,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
EGY_NK,GRC_ARCH,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
EGY_NK,HEB_GEN,same_macrofamily,true,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
EGY_NK,CHN_WS_HAN,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
VED_RV,GRC_ARCH,same_macrofamily,true,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
VED_RV,HEB_GEN,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
VED_RV,CHN_WS_HAN,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
GRC_ARCH,HEB_GEN,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
GRC_ARCH,CHN_WS_HAN,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
HEB_GEN,CHN_WS_HAN,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
