case_id,country,outcome_genocide,case_type,start_year,end_year,identity_source,identity_status,date_status,source_note,A_R,A_R_status,A_R_source,A_R_note,P_R,P_R_status,P_R_source,P_R_note,W_R,W_R_status,W_R_source,W_R_note,I_R,I_R_status,I_R_source,I_R_note,S_R,S_R_status,S_R_source,S_R_note,E_R,E_R_status,E_R_source,E_R_note,A_M,A_M_status,A_M_source,A_M_note,P_M,P_M_status,P_M_source,P_M_note,W_M,W_M_status,W_M_source,W_M_note,I_M,I_M_status,I_M_source,I_M_note,S_M,S_M_status,S_M_source,S_M_note,E_M,E_M_status,E_M_source,E_M_note
CHL_1973_1976,Chile,1,genocide_episode,1973,1976,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
CHN_1959_1959,China,1,genocide_episode,1959,1959,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
CHN_1966_1975,China,1,genocide_episode,1966,1975,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
COD_1964_1965,DR Congo,1,genocide_episode,1964,1965,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
COD_1977_1979,DR Congo,1,genocide_episode,1977,1979,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
SLV_1980_1989,El Salvador,1,genocide_episode,1980,1989,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
GNQ_1969_1979,Equatorial Guinea,1,genocide_episode,1969,1979,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
ETH_1976_1979,Ethiopia,1,genocide_episode,1976,1979,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
GTM_1978_1990,Guatemala,1,genocide_episode,1978,1990,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
IDN_1965_1966,Indonesia,1,genocide_episode,1965,1966,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
IDN_1975_1992,Indonesia,1,genocide_episode,1975,1992,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
IRN_1981_1992,Iran,1,genocide_episode,1981,1992,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
IRQ_1988_1991,Iraq,1,genocide_episode,1988,1991,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
IRQ_1963_1975,Iraq,1,genocide_episode,1963,1975,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
MMR_1978_1978,Myanmar (Burma),1,genocide_episode,1978,1978,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
NGA_1967_1970,Nigeria,1,genocide_episode,1967,1970,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
PAK_1973_1977,Pakistan,1,genocide_episode,1973,1977,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
PAKBGD_1971_1971,Pakistan (now Bangladesh),1,genocide_episode,1971,1971,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
PHL_1972_1976,Philippines,1,genocide_episode,1972,1976,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
RWA_1994_1994,Rwanda,1,genocide_episode,1994,1994,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
RWA_1963_1964,Rwanda,1,genocide_episode,1963,1964,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
SOM_1988_1991,Somalia,1,genocide_episode,1988,1991,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
LKA_1989_1990,Sri Lanka,1,genocide_episode,1989,1990,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
SDN_1983_2002,Sudan,1,genocide_episode,1983,2002,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
SDN_1956_1972,Sudan,1,genocide_episode,1956,1972,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
SYR_1981_1982,Syria,1,genocide_episode,1981,1982,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
UGA_1971_1979,Uganda,1,genocide_episode,1971,1979,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
UGA_1980_1986,Uganda,1,genocide_episode,1980,1986,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
VNM_S_1965_1975,Vietnam South,1,genocide_episode,1965,1975,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
YUG_1998_1999,Yugoslavia,1,genocide_episode,1998,1999,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
ALB_1996,Albania,0,Complex,1996,1997,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
DZA_1991,Algeria,0,Complex,1991,2004,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
ARG_1966,Argentina,0,Regime Change,1966,1966,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
ARM_1995,Armenia,0,Regime Change,1995,1996,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
AZE_1991,Azerbaijan,0,Complex,1991,1997,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
BGD_1974,Bangladesh,0,Complex,1974,1991,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
BLR_1995,Belarus,0,Regime Change,1995,1996,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
BEN_1963,Benin,0,Regime Change,1963,1965,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
BEN_1972,Benin,0,Regime Change,1972,1972,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
BRA_1961,Brazil,0,Regime Change,1961,1965,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
BFA_1980,Burkina Faso,0,Regime Change,1980,1980,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
KHM_1997,Cambodia,0,Regime Change,1997,1997,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
TCD_1965,Chad,0,Complex,1965,1994,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
CHN_1988,China,0,Complex,1988,1998,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
COL_1984,Colombia,0,Revolutionary War,1984,,SCIP-2006-vintage consolidated page,reconstructed-v1,cross-version-date-drift,Case identity is stable; exact begin date differs in later PITF versions and must be resolved before condition coding.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
COM_1976,Comoros,0,Regime Change,1976,1976,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
COM_1995,Comoros,0,Complex,1995,1999,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
COG_1963,Congo-Brazzaville,0,Regime Change,1963,1963,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
