case_id,country,outcome_genocide,start_year,polity_country,polity_start_raw,polity2_start_raw,democ_start_raw,autoc_start_raw,A_polity_only,A_status,source_ref
PAK_1958,Pakistan,0,1958,Pakistan,-7,-7,0,7,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
PAK_1983,Pakistan,0,1983,Pakistan,-7,-7,0,7,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
PAN_1968,Panama,0,1968,Panama,-7,-7,0,7,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
PNG_1989,Papua New Guinea,0,1989,Papua New Guinea,4,4,4,0,0,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
PER_1962,Peru,0,1962,Peru,-6,-6,0,6,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
PER_1968,Peru,0,1968,Peru,-7,-7,0,7,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
PER_1982,Peru,0,1982,Peru,7,7,7,0,0,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
ROU_1989,Romania,0,1989,Romania,-88,-2,-88,-88,,special_-88_requires_FH,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
RUS_1994,Russia,0,1994,Russia,3,3,4,1,0,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
SEN_1962,Senegal,0,1962,Senegal,-88,-4,-88,-88,,special_-88_requires_FH,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
SEN_1992,Senegal,0,1992,Senegal,-1,-1,2,3,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
SLE_1967,Sierra Leone,0,1967,Sierra Leone,-7,-7,0,7,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
SLE_1991,Sierra Leone,0,1991,Sierra Leone,-6,-6,0,6,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
SGP_1963,Singapore,0,1963,Singapore,-66,,-66,-66,,special_-66_requires_FH,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
SOM_1969,Somalia,0,1969,Somalia,-7,-7,0,7,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
ZAF_1984,South Africa,0,1984,South Africa,4,4,7,3,0,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
SWZ_1973,Swaziland,0,1973,Swaziland,-10,-10,0,10,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
SYR_1961,Syria,0,1961,Syria,-2,-2,2,4,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
TJK_1992,Tajikistan,0,1992,Tajikistan,-6,-6,0,6,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
THA_1965,Thailand,0,1965,Thailand,-7,-7,0,7,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
TUR_1971,Turkey,0,1971,Turkey,-2,-2,2,4,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
TUR_1980,Turkey,0,1980,Turkey,-5,-5,2,7,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
GBR_1971,United Kingdom,0,1971,United Kingdom,10,10,10,0,0,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
URY_1971,Uruguay,0,1971,Uruguay,-88,3,-88,-88,,special_-88_requires_FH,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
SUN_1991,USSR (Soviet Union),0,1991,USSR,0,0,3,3,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
YMN_1962,"Yemen, North",0,1962,Yemen North,0,0,2,2,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
YMS_1986,"Yemen, South",0,1986,Yemen South,-7,-7,0,7,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
YEM_1994,Yemen,0,1994,Yemen,-2,-2,1,3,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
YUG_1991,Yugoslavia,0,1991,Yugoslavia,-5,-5,0,5,1,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
ZMB_1964,Zambia,0,1964,Zambia,2,2,4,2,0,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
ZMB_1996,Zambia,0,1996,Zambia,1,1,3,2,0,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
ZWE_1972,Zimbabwe,0,1972,Zimbabwe,4,4,7,3,0,direct_polity,CommonEconomist/replications@1ad6a9cf:historical-conflict/raw_data/p4v2012.csv
