case_id,country,start,end,outcome_genocide,event_type,frame_status,source_basis
UGA_1980_1986,Uganda,1980,1986,1,genocide/politicide case,literature_seed,Williams 2016 positive-case list
VNM_S_1965_1975,Vietnam South,1965,1975,1,genocide/politicide case,literature_seed,Williams 2016 positive-case list
YUG_1998_1999,Yugoslavia,1998,1999,1,genocide/politicide case,literature_seed,Williams 2016 positive-case list
ALBANIA_1996,Albania,5/1996,5/1997,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
ALGERIA_1991,Algeria,5/1991,12/2004,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
ARGENTINA_1966,Argentina,6/1966,6/1966,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
ARMENIA_1995,Armenia,7/1995,9/1996,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
AZERBAIJAN_1991,Azerbaijan,8/1991,6/1997,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
BANGLADESH_1974,Bangladesh,12/1974,6/1991,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
BELARUS_1995,Belarus,4/1995,11/1996,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
BENIN_1963,Benin,10/1963,12/1965,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
BENIN_1972,Benin,10/1972,10/1972,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
BRAZIL_1961,Brazil,9/1961,10/1965,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
BURKINA_FASO_1980,Burkina Faso,11/1980,11/1980,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
CAMBODIA_1997,Cambodia,7/1997,7/1997,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
CHAD_1965,Chad,10/1965,10/1994,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
CHINA_1988,China,7/1988,12/1998,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
COLOMBIA_1975,Colombia,6/1975,ongoing,0,Revolutionary War,candidate_count_parity,PITF Consolidated Case List 2018
COMOROS_1976,Comoros,1/1976,1/1976,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
COMOROS_1995,Comoros,9/1995,4/1999,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
CONGO_BRAZZAVILLE_1963,Congo-Brazzaville,12/1963,12/1963,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
CONGO_BRAZZAVILLE_1997,Congo-Brazzaville,6/1997,12/1999,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
CONGO_KINSHASA_1992,Congo-Kinshasa,3/1992,ongoing,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
CROATIA_1991,Croatia,6/1991,12/1995,0,Ethnic War,candidate_count_parity,PITF Consolidated Case List 2018
CYPRUS_1963,Cyprus,12/1963,4/1968,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
CYPRUS_1974,Cyprus,7/1974,8/1974,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
CZECHOSLOVAKIA_1968,Czechoslovakia,8/1968,9/1969,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
DJIBOUTI_1991,Djibouti,11/1991,6/1994,0,Ethnic War,candidate_count_parity,PITF Consolidated Case List 2018
DOMINICAN_REPUBLIC_1963,Dominican Republic,9/1963,7/1966,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
ECUADOR_1970,Ecuador,6/1970,2/1972,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
EGYPT_1992,Egypt,2/1992,3/1999,0,Revolutionary War,candidate_count_parity,PITF Consolidated Case List 2018
FIJI_1987,Fiji,12/1987,12/1987,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
FRANCE_1958,France,6/1958,6/1958,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
THE_GAMBIA_1994,The Gambia,7/1994,7/1994,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
GEORGIA_1991,Georgia,6/1991,12/1993,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
GHANA_1972,Ghana,1/1972,1/1972,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
GHANA_1981,Ghana,12/1981,12/1981,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
GREECE_1967,Greece,4/1967,4/1967,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
GUINEA_BISSAU_1998,Guinea-Bissau,6/1998,9/2003,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
GUYANA_1978,Guyana,4/1978,10/1980,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
HAITI_1991,Haiti,9/1991,9/1991,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
HUNGARY_1956,Hungary,10/1956,5/1957,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
INDIA_1956,India,5/1956,10/1958,0,Ethnic War,candidate_count_parity,PITF Consolidated Case List 2018
INDIA_1967,India,5/1967,12/1971,0,Ethnic War,candidate_count_parity,PITF Consolidated Case List 2018
INDIA_1983,India,4/1983,ongoing,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
ISRAEL_1987,Israel,12/1987,ongoing,0,Ethnic War,candidate_count_parity,PITF Consolidated Case List 2018
JORDAN_1957,Jordan,4/1957,4/1957,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
JORDAN_1970,Jordan,2/1970,7/1971,0,Revolutionary War,candidate_count_parity,PITF Consolidated Case List 2018
KENYA_1964,Kenya,1/1964,10/1969,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
KENYA_1991,Kenya,10/1991,9/1993,0,Ethnic War,candidate_count_parity,PITF Consolidated Case List 2018
KOREA_SOUTH_1961,"Korea, South",5/1961,5/1961,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
KOREA_SOUTH_1972,"Korea, South",10/1972,10/1972,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
LAOS_1960,Laos,1/1960,6/1979,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
LEBANON_1958,Lebanon,5/1958,7/1958,0,Revolutionary War,candidate_count_parity,PITF Consolidated Case List 2018
LEBANON_1975,Lebanon,4/1975,7/1991,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
LESOTHO_1970,Lesotho,1/1970,1/1970,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
LESOTHO_1998,Lesotho,5/1998,1/1999,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
LIBERIA_1985,Liberia,11/1985,8/2003,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
MALAYSIA_1969,Malaysia,5/1969,5/1969,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
MALI_1990,Mali,6/1990,1/1995,0,Ethnic War,candidate_count_parity,PITF Consolidated Case List 2018
MOLDOVA_1992,Moldova,3/1992,12/1992,0,Ethnic War,candidate_count_parity,PITF Consolidated Case List 2018
MOROCCO_1965,Morocco,6/1965,6/1965,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
MOROCCO_1975,Morocco,10/1975,11/1989,0,Ethnic War,candidate_count_parity,PITF Consolidated Case List 2018
MOZAMBIQUE_1976,Mozambique,7/1976,10/1992,0,Revolutionary War,candidate_count_parity,PITF Consolidated Case List 2018
NEPAL_1960,Nepal,12/1960,12/1960,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
NEPAL_1996,Nepal,2/1996,4/2006,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
NICARAGUA_1978,Nicaragua,2/1978,3/1988,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
NIGER_1996,Niger,1/1996,1/1996,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
NIGERIA_1980,Nigeria,12/1980,4/1985,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
OMAN_1970,Oman,6/1970,3/1976,0,Revolutionary War,candidate_count_parity,PITF Consolidated Case List 2018
PAKISTAN_1958,Pakistan,10/1958,10/1958,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
PAKISTAN_1983,Pakistan,8/1983,ongoing,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
PANAMA_1968,Panama,10/1968,10/1968,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
PAPUA_NEW_GUINEA_1989,Papua New Guinea,5/1989,5/1997,0,Ethnic War,candidate_count_parity,PITF Consolidated Case List 2018
PERU_1962,Peru,7/1962,7/1962,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
PERU_1968,Peru,10/1968,10/1968,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
PERU_1982,Peru,3/1982,4/1997,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
ROMANIA_1989,Romania,12/1989,12/1989,0,Revolutionary War,candidate_count_parity,PITF Consolidated Case List 2018
RUSSIA_1994,Russia,8/1994,ongoing,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
SENEGAL_1962,Senegal,12/1962,3/1963,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
SENEGAL_1992,Senegal,9/1992,12/1999,0,Ethnic War,candidate_count_parity,PITF Consolidated Case List 2018
SIERRA_LEONE_1967,Sierra Leone,3/1967,4/1971,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
SIERRA_LEONE_1991,Sierra Leone,3/1991,3/2002,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
SINGAPORE_1963,Singapore,9/1963,8/1965,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
SOUTH_AFRICA_1984,South Africa,8/1984,6/1996,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
SURINAME_1980,Suriname,2/1980,3/1982,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
SWAZILAND_1973,Swaziland,4/1973,4/1973,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
SYRIA_1961,Syria,9/1961,2/1966,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
TAJIKISTAN_1992,Tajikistan,4/1992,12/1998,0,Revolutionary War,candidate_count_parity,PITF Consolidated Case List 2018
THAILAND_1965,Thailand,11/1965,12/1983,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
TURKEY_1971,Turkey,4/1971,4/1971,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
TURKEY_1980,Turkey,9/1980,ongoing,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
UNITED_KINGDOM_1971,United Kingdom,1/1971,10/1982,0,Ethnic War,candidate_count_parity,PITF Consolidated Case List 2018
URUGUAY_1971,Uruguay,11/1971,2/1973,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
USSR_SOVIET_UNION_1991,USSR (Soviet Union),8/1991,12/1991,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
YEMEN_NORTH_1962,"Yemen, North",9/1962,1/1970,0,Revolutionary War,candidate_count_parity,PITF Consolidated Case List 2018
YEMEN_SOUTH_1986,"Yemen, South",1/1986,2/1986,0,Revolutionary War,candidate_count_parity,PITF Consolidated Case List 2018
YEMEN_1994,Yemen,4/1994,7/1994,0,Revolutionary War,candidate_count_parity,PITF Consolidated Case List 2018
YUGOSLAVIA_1991,Yugoslavia,6/1991,1/1992,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
ZAMBIA_1964,Zambia,7/1964,12/1972,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
ZAMBIA_1996,Zambia,11/1996,11/1996,0,Regime Change,candidate_count_parity,PITF Consolidated Case List 2018
ZIMBABWE_1972,Zimbabwe,12/1972,12/1987,0,Complex,candidate_count_parity,PITF Consolidated Case List 2018
