case_id,country,outcome_genocide,case_type,start_year,end_year,identity_source,identity_status,date_status,source_note
BEN_1963,Benin,0,Regime Change,1963,1965,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
BEN_1972,Benin,0,Regime Change,1972,1972,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
BRA_1961,Brazil,0,Regime Change,1961,1965,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
BFA_1980,Burkina Faso,0,Regime Change,1980,1980,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
KHM_1997,Cambodia,0,Regime Change,1997,1997,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
TCD_1965,Chad,0,Complex,1965,1994,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
CHN_1988,China,0,Complex,1988,1998,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
COL_1984,Colombia,0,Revolutionary War,1984,,SCIP-2006-vintage consolidated page,reconstructed-v1,cross-version-date-drift,Case identity is stable; exact begin date differs in later PITF versions and must be resolved before condition coding.
COM_1976,Comoros,0,Regime Change,1976,1976,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
COM_1995,Comoros,0,Complex,1995,1999,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
COG_1963,Congo-Brazzaville,0,Regime Change,1963,1963,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
COG_1997,Congo-Brazzaville,0,Complex,1997,1999,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
COD_1992,Congo-Kinshasa,0,Complex,1992,,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
HRV_1991,Croatia,0,Ethnic War,1991,1995,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
CYP_1963,Cyprus,0,Complex,1963,1968,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
CYP_1974,Cyprus,0,Complex,1974,1974,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
CSK_1968,Czechoslovakia,0,Regime Change,1968,1969,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
DJI_1991,Djibouti,0,Ethnic War,1991,1994,PITF-2010-cited + PITF-2014/2017-confirmed,reconstructed-v1,provisional-vintage-date,Absent from current SCIP HTML rendering but present in cited PITF 2010-era literature and confirmed in PITF 2014/2017; included to restore the published 99-control universe.
DOM_1963,Dominican Republic,0,Complex,1963,1966,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
ECU_1970,Ecuador,0,Regime Change,1970,1972,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
EGY_1992,Egypt,0,Revolutionary War,1992,1999,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
FJI_1987,Fiji,0,Regime Change,1987,1987,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
FRA_1958,France,0,Regime Change,1958,1958,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
GMB_1994,The Gambia,0,Regime Change,1994,1994,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
GEO_1991,Georgia,0,Complex,1991,1993,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
GHA_1972,Ghana,0,Regime Change,1972,1972,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
GHA_1981,Ghana,0,Regime Change,1981,1981,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
GRC_1967,Greece,0,Regime Change,1967,1967,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
GNB_1998,Guinea-Bissau,0,Complex,1998,2003,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
GUY_1978,Guyana,0,Regime Change,1978,1980,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
HTI_1991,Haiti,0,Regime Change,1991,1991,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
HUN_1956,Hungary,0,Complex,1956,1957,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
IND_1956,India,0,Ethnic War,1956,1958,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
IND_1967,India,0,Ethnic War,1967,1971,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
IND_1983,India,0,Complex,1983,,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
ISR_1987,Israel,0,Ethnic War,1987,,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
JOR_1957,Jordan,0,Regime Change,1957,1957,SCIP-2006-vintage consolidated page,reconstructed-v1,cross-version-date-drift,Case identity is stable; exact begin date differs in later PITF versions and must be resolved before condition coding.
JOR_1970,Jordan,0,Revolutionary War,1970,1971,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
KEN_1964,Kenya,0,Complex,1964,1969,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
KEN_1991,Kenya,0,Ethnic War,1991,1993,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
KOR_1961,"Korea, South",0,Regime Change,1961,1961,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
KOR_1972,"Korea, South",0,Regime Change,1972,1972,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
LAO_1960,Laos,0,Complex,1960,1979,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
LBN_1958,Lebanon,0,Revolutionary War,1958,1958,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
LBN_1975,Lebanon,0,Complex,1975,1991,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
LSO_1970,Lesotho,0,Regime Change,1970,1970,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
LSO_1998,Lesotho,0,Complex,1998,1999,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
LBR_1985,Liberia,0,Complex,1985,2003,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
MYS_1969,Malaysia,0,Regime Change,1969,1969,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
MLI_1990,Mali,0,Ethnic War,1990,1995,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
MDA_1992,Moldova,0,Ethnic War,1992,1992,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
MAR_1965,Morocco,0,Regime Change,1965,1965,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
MAR_1975,Morocco,0,Ethnic War,1975,1989,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
MOZ_1976,Mozambique,0,Revolutionary War,1976,1992,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
NPL_1960,Nepal,0,Regime Change,1960,1960,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
NPL_1996,Nepal,0,Revolutionary War,1996,2006,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
NIC_1978,Nicaragua,0,Complex,1978,1988,SCIP-2006-vintage consolidated page,reconstructed-v1,cross-version-date-drift,Case identity is stable; exact begin date differs in later PITF versions and must be resolved before condition coding.
NER_1996,Niger,0,Regime Change,1996,1996,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
NGA_1980,Nigeria,0,Complex,1980,1985,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
OMN_1970,Oman,0,Revolutionary War,1970,1976,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
PAK_1958,Pakistan,0,Regime Change,1958,1958,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
PAK_1983,Pakistan,0,Complex,1983,,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
PAN_1968,Panama,0,Regime Change,1968,1968,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
PNG_1989,Papua New Guinea,0,Ethnic War,1989,1997,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
PER_1962,Peru,0,Regime Change,1962,1962,SCIP-2006-vintage consolidated page,reconstructed-v1,cross-version-date-drift,Case identity is stable; exact begin date differs in later PITF versions and must be resolved before condition coding.
PER_1968,Peru,0,Regime Change,1968,1968,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
PER_1982,Peru,0,Complex,1982,1997,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
ROU_1989,Romania,0,Revolutionary War,1989,1989,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
RUS_1994,Russia,0,Ethnic War,1994,2006,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
SEN_1962,Senegal,0,Regime Change,1962,1963,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
SEN_1992,Senegal,0,Ethnic War,1992,1999,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
SLE_1967,Sierra Leone,0,Complex,1967,1971,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
SLE_1991,Sierra Leone,0,Complex,1991,2002,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
SGP_1963,Singapore,0,Regime Change,1963,1965,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
SOM_1969,Somalia,0,Regime Change,1969,1969,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
ZAF_1984,South Africa,0,Complex,1984,1996,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
SWZ_1973,Swaziland,0,Regime Change,1973,1973,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
SYR_1961,Syria,0,Regime Change,1961,1966,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
TJK_1992,Tajikistan,0,Revolutionary War,1992,1998,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
THA_1965,Thailand,0,Complex,1965,1983,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
TUR_1971,Turkey,0,Regime Change,1971,1971,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
TUR_1980,Turkey,0,Complex,1980,,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
GBR_1971,United Kingdom,0,Ethnic War,1971,1982,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
URY_1971,Uruguay,0,Regime Change,1971,1973,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
SUN_1991,USSR (Soviet Union),0,Regime Change,1991,1991,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
YMN_1962,"Yemen, North",0,Revolutionary War,1962,1970,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
YMS_1986,"Yemen, South",0,Revolutionary War,1986,1986,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
