case_id,sftgcode,start_year_2014lineage,end_year_2014lineage,event_types,outcome_genocide,canonical_status,source_lineage
NEG_001,ALB,1996,1997,reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_045,ISR,1987,2014,eth,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_046,JOR,1957,1957,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_047,JOR,1970,1971,rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_048,KEN,1964,1969,eth+reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_049,KEN,1991,1993,eth,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_050,LAO,1960,1979,eth+reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_051,LBR,1985,2003,reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_052,LEB,1958,1958,rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_053,LEB,1975,1991,eth+reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_054,LES,1970,1970,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_055,LES,1998,1999,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_056,MAL,1969,1969,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_057,MLD,1992,1992,eth,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_058,MLI,1990,1995,eth,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_059,MOR,1965,1965,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_060,MOR,1975,1989,eth,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_061,MZM,1976,1992,rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_062,NEP,1960,1960,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_063,NEP,1996,2006,reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_064,NIC,1978,1988,eth+reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_065,NIG,1980,1985,reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_066,NIR,1996,1996,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_067,OMA,1970,1976,rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_068,PAK,1983,2014,eth+reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_069,PAN,1968,1968,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_070,PER,1962,1962,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_071,PER,1968,1968,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_072,PER,1982,1997,reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_073,PKS,1958,1958,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_074,PNG,1989,1997,eth,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_075,ROK,1961,1961,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_076,ROK,1972,1972,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_077,RUM,1989,1989,rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_078,RUS,1994,2014,eth,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_079,SAF,1984,1996,eth+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_080,SEN,1962,1963,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_081,SEN,1992,1999,eth,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_082,SIE,1967,1971,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_083,SIE,1991,2002,reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_084,SIN,1965,1965,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_085,SOM,1969,1969,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_086,SWA,1973,1973,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_087,SYR,1961,1966,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_088,TAJ,1992,1998,rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_089,THI,1965,1983,reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_090,TUR,1971,1971,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_091,TUR,1980,2014,eth+reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_092,UKG,1971,1982,eth,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_093,URU,1971,1973,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_094,USS,1991,1991,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_095,YAR,1962,1970,rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_096,YEM,1994,1994,rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_097,YPR,1986,1986,rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_098,YUG,1991,1991,eth+reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_099,ZAI,1992,2014,eth+reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_100,ZAM,1964,1972,reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_101,ZAM,1996,1996,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_102,ZIM,1981,1987,eth+reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
