source_id,construct_family,response_scale,variable_code,country_label,since_year,coverage_rule,value_inspected,qa_note,source_url
WDH_TRENDS,life_satisfaction,4-step,M-ls4_bo,Bolivia,1997,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_br,Brazil,1997,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_cl,Chile,1997,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_co,Colombia,1997,at least 20 years and at least 10 comparable data points,no,source page label is 'Columbia'; canonicalized country spelling only,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_cr,Costa Rica,1997,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_hk,Croatia,2004,at least 20 years and at least 10 comparable data points,no,source variable suffix 'hk' appears inconsistent with country label; retain and flag,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_cy,Cyprus,2001,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_cz,Czech Republic,2001,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_dk,Denmark,1973,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_elsal,El Salvador,1997,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_eq,Ecuador,1997,at least 20 years and at least 10 comparable data points,no,source page label is 'Equador'; canonicalized country spelling only,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_ee,Estonia,2001,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_fi,Finland,1990,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_fr,France,1973,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_de,Germany (re-united),1990,at least 20 years and at least 10 comparable data points,no,historical entity label preserved,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_gr,Greece,1981,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_hn,Honduras,1997,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_hu,Hungary,2001,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_ie,Ireland,1973,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_it,Italy,1973,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_jp,Japan,1958,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_lv,Latvia,2001,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_lt,Lithuania,2001,at least 20 years and at least 10 comparable data points,no,source page label is 'Lithunia'; canonicalized spelling only,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_lu,Luxembourg,1973,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_mt,Malta,2001,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_mx,Mexico,1997,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_nl,Netherlands,1973,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_ni,Nicaragua,1991,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_pa,Panama,1997,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_py,Paraguay,1997,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_pe,Peru,1997,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_pl,Poland,2001,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_pt,Portugal,1985,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_ro,Romania,1998,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_sk,Slovakia,2001,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_,Slovenia,2001,at least 20 years and at least 10 comparable data points,no,source variable code lacks country suffix; retain and flag,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_sp,Spain,1985,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_si,Sweden,1995,at least 20 years and at least 10 comparable data points,no,source variable suffix 'si' may conflict with Slovenia convention; retain and flag,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_uk,UK (Great Britain),1973,at least 20 years and at least 10 comparable data points,no,historical/source label preserved,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_ve,Venezuela,1997,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,5-step,M-ls5_jp,Japan,1978,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4+5-step,M-ls45_pj,Japan,1958,at least 20 years and at least 10 comparable data points,no,mean of 4-step and 5-step series per WDH,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,10-step,M-ls10_ca,Canada,1982,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,10-step,M-ls10_dk,Denmark,1981,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,10-step,M-ls10_fr,France,1981,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,10-step,M-ls10_is,Iceland,1981,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,10-step,M-ls10_kr,Korea (south),1981,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,10-step,M-ls10_mx,Mexico,1981,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,10-step,M-ls10_nl,Netherlands,1981,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,10-step,M-ls10_ro,Romania,1990,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,10-step,M-ls10_ru,Russia,1990,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,10-step,M-ls10_se,Sweden,1982,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_au,Australia,1975,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_be,Belgium,1975,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_ca,Canada,1975,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_dk,Denmark,1975,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_ge,Germany,1984,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_fi,Finland,1976,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_fr,France,1975,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_hu,Hungary,1992,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_is,Iceland,2004,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_ir,Ireland,1975,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_il,Israel,2002,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_it,Italy,1975,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_jp,Japan,1975,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_kr,Korea (South),1980,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_lu,Luxembourg,1975,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_nl,Netherlands,1974,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_mx,Mexico,1975,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_no,Norway,1990,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_pl,Poland,2002,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_ro,Romania,2006,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_ru,Russia,1991,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_sk,Slovakia,2004,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_si,Slovenia,1991,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_za,South Africa,2002,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_sp,Spain,2000,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_se,Sweden,1982,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_ch,Switzerland,1976,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_tr,Turkey,2001,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,11-step,M-ls11_ua,Ukraine,2004,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
