event_id,country,ew_report_year,direction,effective_date,effective_year,date_quality,official_reform_source,exact_date_source,notes,whr_country,legal_effective_year,transition_year_excluded,candidate_treatment_year,timing_quality,whr_years_all,pre_years_-4_-1,post_years_0_4,n_pre,n_post,pilot0_coverage_pass,confirmatory_timing_pass
KIR_EW2018,Kiribati,2018,introduced,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says annual paid leave introduced,,,,2017,provisional_ew_report_minus_1,,,,0,0,False,False
XKX_EW2012,Kosovo,2012,increase,2010-12-16,2010.0,verified_derived,https://www.worldbank.org/en/research/employing-workers/reforms,https://old.kuvendikosoves.org/common/docs/ligjet/2010-212-eng.pdf,Law 03/L-212 dated 2010-11-01 enters 15 days after Official Gazette publication; Gazette publication 2010-12-01,Kosovo,2010,2010,2011,verified_first_full_year,2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2007;2008;2009;2010,2011;2012;2013;2014;2015,4,5,True,True
KWT_EW2011,Kuwait,2011,increase,2010-02-21,2010.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://natlex.ilo.org/dyn/natlex2/r/natlex/fe/details?p3_isn=83616,Law No. 6/2010 entered into force 2010-02-21 and includes annual paid leave,Kuwait,2010,2010,2011,verified_first_full_year,2006;2009;2010;2011;2012;2013;2014;2015;2016;2017;2019,2009;2010,2011;2012;2013;2014;2015,2,5,True,True
LBR_EW2017,Liberia,2017,introduced,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says paid annual leave entitlement introduced,Liberia,,,2016,provisional_ew_report_minus_1,2007;2008;2010;2014;2015;2016;2017;2018;2019;2022,2014;2015,2016;2017;2018;2019,2,4,True,False
LTU_EW2019,Lithuania,2019,changed_unspecified,2017-07-01,2017.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://e-seimas.lrs.lt/rs/legalact/TAD/6eea48d294ea11eea70ce7cabd08f150/,New Labour Code entered into force 2017-07-01; WB panel later records a small tenure-profile change,Lithuania,2017,2017,2018,verified_first_full_year,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2014;2015;2016;2017,2018;2019;2020;2021;2022,4,5,True,True
LUX_EW2020,Luxembourg,2020,increase,2019-01-01,2019.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://itm.public.lu/fr/questions-reponses/droit-travail/conges/a/a1.html,Minimum statutory paid annual leave increased 25 to 26 days from 2019-01-01,Luxembourg,2019,,2019,verified_first_full_year,2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2022,2015;2016;2017;2018,2019;2022,4,2,True,True
MDV_EW2010,Maldives,2010,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave increased,Maldives,,,2009,provisional_ew_report_minus_1,2018,,,0,0,False,False
MLT_EW2020,Malta,2020,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,2018/2019 working-hours reform summary says paid annual leave increased,Malta,,,2019,provisional_ew_report_minus_1,2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2015;2016;2017;2018,2019;2020;2021;2022,4,4,True,False
MUS_EW2010,Mauritius,2010,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave increased,Mauritius,,,2009,provisional_ew_report_minus_1,2011;2014;2016;2017;2018;2019;2020;2021;2022,,2011,0,1,False,False
MNE_EW2013,Montenegro,2013,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says paid annual leave increased,Montenegro,,,2012,provisional_ew_report_minus_1,2007;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020,2009;2010;2011,2012;2013;2014;2015;2016,3,5,True,False
NAM_EW2010,Namibia,2010,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave increased,Namibia,,,2009,provisional_ew_report_minus_1,2007;2014;2017;2018;2019;2020;2021;2022,2007,,1,0,False,False
MKD_EW2010,North Macedonia,2010,decrease,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,Then FYR Macedonia; mandatory paid annual leave reduced,North Macedonia,,,2009,provisional_ew_report_minus_1,2007;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2007,2009;2010;2011;2012;2013,1,5,False,False
OMN_EW2013,Oman,2013,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,Increase applied to employees with one year of service,Oman,,,2012,provisional_ew_report_minus_1,2011,2011,,1,0,False,False
PER_EW2010,Peru,2010,decrease,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave decreased,Peru,,,2009,provisional_ew_report_minus_1,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2006;2007;2008,2009;2010;2011;2012;2013,3,5,True,False
PRI_EW2018,Puerto Rico,2018,decrease,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave decreased,,,,2017,provisional_ew_report_minus_1,,,,0,0,False,False
TWN_EW2018,"Taiwan, China",2018,increase,2017-01-01,2017.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://laws.mol.gov.tw/Eng/FLAWDAT0201.aspx?id=FL014930,Article 38 amendment effective 2017-01-01,Taiwan Province of China,2017,,2017,verified_first_full_year,2006;2008;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013;2014;2015;2016,2017;2018;2019;2020;2021,4,5,True,True
GBR_STAGE1,United Kingdom,2009,increase,2007-10-01,2007.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/389676/bis-14-1287-the-impact-of-the-working-time-regulations-on-the-UK-labour-market-a-review-of-evidence.pdf,Minimum annual leave 4.0 to 4.8 weeks,United Kingdom,2007,2007,2008,verified_first_full_year,2005;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2005;2007,2008;2009;2010;2011;2012,2,5,True,True
GBR_STAGE2,United Kingdom,2010,increase,2009-04-01,2009.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/389676/bis-14-1287-the-impact-of-the-working-time-regulations-on-the-UK-labour-market-a-review-of-evidence.pdf,Minimum annual leave 4.8 to 5.6 weeks,United Kingdom,2009,2009,2010,verified_first_full_year,2005;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2007;2008;2009,2010;2011;2012;2013;2014,3,5,True,True
VUT_EW2011,Vanuatu,2011,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory annual leave increased,,,,2010,provisional_ew_report_minus_1,,,,0,0,False,False
ZMB_EW2008,Zambia,2008,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave increased,Zambia,,,2007,provisional_ew_report_minus_1,2006;2007;2008;2009;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021,2006,2007;2008;2009;2011,1,4,False,False
