reference_year,country,raw_minimum_entitlement,raw_unit_family,raw_numeric_component,approx_5day_workweek_days,approx_harmonization_confidence,ilo_c132_duration_category,above_c132_minimum,source_scope,source_url
2000,Ethiopia,14 working days (6.5-day working week),working_days_6_5day_week,14,11,high,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Gabon,2 working days per month (6-day working week),working_days_per_month_6day,2,20,high,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Iran,1 month (including 4 Fridays),month_including_four_fridays,1,,none,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Japan,10 working days,working_days_unspecified_week,10,8,medium,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Jordan,14 days,days_unspecified,14,,none,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Kazakhstan,18 calendar days,calendar_days,18,13,high,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,"Korea, Republic of",22 days,days_unspecified,22,,none,>=3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Lao People's Democratic Republic,15 working days,working_days_unspecified_week,15,13,medium,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Lesotho,12 working days,working_days_unspecified_week,12,10,medium,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Lithuania,28 calendar days,calendar_days,28,20,high,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Mali,2.5 days per month (30 days per year – 6-day working week),days_per_month_6day,2.5,25,high,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Mexico,6 continuous working days per year,working_days_unspecified_week,6,5,medium,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Namibia,24 consecutive days,consecutive_days,24,17,high,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Nicaragua,15 consecutive days every six months (30 days per year),consecutive_days,30,21,high,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Nepal,1 day's leave for 20 working days,accrual_per_days_worked,0.05,,none,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Panama,30 days (1 day for 11 worked),days_accrual,30,,none,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Paraguay,12 consecutive days,consecutive_days,12,9,high,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Poland,18 working days (6-day working week),working_days_6day_week,18,15,high,>=3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Russian Federation,24 working days (6-day working week),working_days_6day_week,24,20,high,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Senegal,2 working days per month,working_days_per_month,2,20,medium,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Seychelles,21 days,days_three_week_equivalent,21,15,medium,>=3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Slovakia,3 working weeks (7 working days),working_weeks,3,15,high,>=3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Sudan,20 days,days_unspecified,20,,none,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,United Kingdom,4 weeks,weeks,4,20,high,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Venezuela,15 working days,working_days_unspecified_week,15,13,medium,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Viet Nam,12 working days,working_days_unspecified_week,12,10,medium,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
