cohort,country,measure,start_year,end_year,slope_pre2019,ci_pre2019_raw,slope_with_covid,ci_with_covid_raw,source_url
1980s,Italy,ls11,1983,2018,0.009,-0.013–+0.030,,,https://www.intechopen.com/chapters/86319
1980s,Italy,ls4,1980,2021,-0.006,-0.014–+0.001,-0.006,-0.013–0.000,https://www.intechopen.com/chapters/86319
1980s,Japan,ls4,1980,2013,-0.003,-0.008–+0.003,,,https://www.intechopen.com/chapters/86319
1980s,Japan,ls5,1981,2005,-0.006,-0.046–+0.034,,,https://www.intechopen.com/chapters/86319
1980s,Japan,ls10+11,1981,2019,0.029,-0.005–+0.028,,,https://www.intechopen.com/chapters/86319
1980s,Korea (South),bw11,1981,2020,0.046,+0.015–+0.076,-0.015,-0.4601–+0.012,https://www.intechopen.com/chapters/86319
1980s,Luxembourg,ls4,1980,2021,0.003,-0.001–+0.007,0,-0.005–+0.004,https://www.intechopen.com/chapters/86319
1980s,Luxembourg,hl3,1982,2008,-0.013,-0.035–+0.009,,,https://www.intechopen.com/chapters/86319
1980s,Luxembourg,ls10+11,1983,2018,0.008,-0.004–+0.019,,,https://www.intechopen.com/chapters/86319
1980s,Netherlands,ls10,1981,2019,0.002,-0.006–+0.011,0.043,+0.014–+0.072,https://www.intechopen.com/chapters/86319
1980s,Netherlands,ls4,1980,2021,0.011,+0.007–+0.016,0.011,+0.007–+0.014,https://www.intechopen.com/chapters/86319
1980s,Netherlands,ls5,1980,2012,-0.005,-0.018–+0.008,,,https://www.intechopen.com/chapters/86319
1980s,Netherlands,ls11,1983,2018,0.004,-0.010–+0.017,,,https://www.intechopen.com/chapters/86319
1980s,Netherlands,hl5,1980,2019,-0.005,-0.018–+0.008,,,https://www.intechopen.com/chapters/86319
1980s,Norway,ls10+11,1981,2018,0.008,-0.003–+0.019,0.002,-0.006–+0.011,https://www.intechopen.com/chapters/86319
1980s,Norway,hl4,1981,2018,0,-0.020–+0.021,,,https://www.intechopen.com/chapters/86319
1980s,Portugal,ls4,1985,2021,-0.016,-0.030–-0.001,-0.015,-0.029–-0.001,https://www.intechopen.com/chapters/86319
1980s,South Africa,hl5,1983,2015,-0.006,-0.039–+0.026,,,https://www.intechopen.com/chapters/86319
1980s,South Africa,ls5,1983,2015,-0.015,-0.048–+0.018,,,https://www.intechopen.com/chapters/86319
1980s,South Africa,ls10+11,1981,2013,0.009,-0.026–+0.043,,,https://www.intechopen.com/chapters/86319
1980s,Spain,ls4,1985,2021,0.002,-0.008–+0.012,0.005,-0.004–+0.014,https://www.intechopen.com/chapters/86319
1980s,Spain,ls10+11,1981,2018,0.024,+0.007–+0.041,,,https://www.intechopen.com/chapters/86319
1980s,Sweden,ls10,1982,2017,0.001,-0.010–+0.012,,,https://www.intechopen.com/chapters/86319
1980s,UK,ls11,1983,2018,0.01,+0.003–+0.016,,,https://www.intechopen.com/chapters/86319
1980s,UK,ls4,1980,2020,0.016,+0.012–+0.021,0.015,+0.011–+0.019,https://www.intechopen.com/chapters/86319
1980s,USA,ls10+11,1981,2017,-0.018,-0.037–+0.001,,,https://www.intechopen.com/chapters/86319
1980s,USA,bw11,1980,2021,0.018,+0.011–+0.025,0.016,+0.010–+0.023,https://www.intechopen.com/chapters/86319
1980s,USA,hl3,1980,2010,0.007,-0.003–+0.018,,,https://www.intechopen.com/chapters/86319
1980s,USA,hl4,1981,2017,-0.004,-0.019–+0.011,,,https://www.intechopen.com/chapters/86319
