reference_year,country,source_group,raw_first_year_entitlement,source_basis,source_scope,source,source_url,detail_status
1962,Dominican Republic,about_two_weeks,2 weeks,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Ecuador,about_two_weeks,15 consecutive days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,"Germany, Democratic Republic",about_two_weeks,12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,"Germany, Federal Republic",about_two_weeks,12 working days,mixed_subnational_or_collective,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Haiti,about_two_weeks,15 consecutive days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Hungary,about_two_weeks,12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Iceland,about_two_weeks,12 days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,India,about_two_weeks,1 day per 20 days worked; state laws/regulations assumed about 2 weeks,mixed_subnational_or_sectoral,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Indonesia,about_two_weeks,2 weeks,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Iran,about_two_weeks,12 days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Iraq,about_two_weeks,12 days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Israel,about_two_weeks,14 days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Italy,about_two_weeks,12 working days,mixed_national_right_collective_duration,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Jordan,about_two_weeks,"3 weeks raw, but public holidays counted in vacation; source places in two-week group",national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Libya,about_two_weeks,14 days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Lebanon,about_two_weeks,15 days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Morocco,about_two_weeks,15 days including 12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Netherlands,about_two_weeks,15 working days,mixed_subnational_or_collective,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,New Zealand,about_two_weeks,2 weeks,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Peru,about_two_weeks,15 consecutive days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Poland,about_two_weeks,12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Rumania,about_two_weeks,12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Republic of South Africa,about_two_weeks,2 calendar weeks,mixed_sectoral_or_collective,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Syria,about_two_weeks,14 days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Tunisia,about_two_weeks,15 days including 12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Turkey,about_two_weeks,12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Ukraine,about_two_weeks,12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,United Arab Republic,about_two_weeks,14 days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,United Kingdom,about_two_weeks,2 weeks,mixed_collective_and_wage_orders,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,U.S.S.R.,about_two_weeks,12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Venezuela,about_two_weeks,15 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Viet-Nam,about_two_weeks,15 days including 12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Yugoslavia,about_two_weeks,12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Argentina,less_than_two_weeks,10 days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Burma,less_than_two_weeks,"7 consecutive days, including at least 6 working days",national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Canada,less_than_two_weeks,1 week,mixed_federal_and_provincial,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Greece,less_than_two_weeks,6 or 8 consecutive working days,national_category_specific,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Guatemala,less_than_two_weeks,5 or 10 days,national_category_specific,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Honduras,less_than_two_weeks,10 consecutive working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Ireland,less_than_two_weeks,7 days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Japan,less_than_two_weeks,6 days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Luxembourg,less_than_two_weeks,8 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Mexico,less_than_two_weeks,6 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Pakistan,less_than_two_weeks,10 consecutive days,mixed_nonuniform,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Paraguay,less_than_two_weeks,6 days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Portugal,less_than_two_weeks,3 to 12 working days,mixed_nonuniform,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,El Salvador,less_than_two_weeks,6 or 10 days,national_category_specific,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,San Marino,less_than_two_weeks,1 week,national_category_specific,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Spain,less_than_two_weeks,7 consecutive working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Switzerland,less_than_two_weeks,6 working days,mixed_cantonal,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,United States of America,less_than_two_weeks,1 week,mixed_collective_or_sectoral,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
