source_id,source_family,construct,country,country_code,year_or_wave,period_start,period_end,resolution,source_era,coverage_status,value_inspected,note
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Afghanistan,,2008,2008,2008,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Afghanistan,,2019,2019,2019,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Afghanistan,,2021,2021,2021,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Afghanistan,,2022,2022,2022,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Afghanistan,,2023,2023,2023,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2007,2007,2007,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2009,2009,2009,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2010,2010,2010,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2011,2011,2011,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2012,2012,2012,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2013,2013,2013,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2014,2014,2014,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2015,2015,2015,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2016,2016,2016,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2017,2017,2017,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2018,2018,2018,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2019,2019,2019,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2020,2020,2020,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2021,2021,2021,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2022,2022,2022,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Albania,,2023,2023,2023,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Algeria,,2010,2010,2010,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Algeria,,2011,2011,2011,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Algeria,,2012,2012,2012,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Algeria,,2014,2014,2014,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Algeria,,2016,2016,2016,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Algeria,,2017,2017,2017,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Algeria,,2018,2018,2018,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Algeria,,2019,2019,2019,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Algeria,,2020,2020,2020,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Algeria,,2021,2021,2021,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Algeria,,2022,2022,2022,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Angola,,2011,2011,2011,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Angola,,2012,2012,2012,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Angola,,2013,2013,2013,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Angola,,2014,2014,2014,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2006,2006,2006,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2007,2007,2007,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2008,2008,2008,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2009,2009,2009,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2010,2010,2010,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2011,2011,2011,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2012,2012,2012,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2013,2013,2013,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2014,2014,2014,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2015,2015,2015,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2016,2016,2016,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2017,2017,2017,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2018,2018,2018,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2019,2019,2019,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2020,2020,2020,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2021,2021,2021,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2022,2022,2022,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Argentina,,2023,2023,2023,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2006,2006,2006,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2007,2007,2007,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2008,2008,2008,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2009,2009,2009,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2010,2010,2010,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2011,2011,2011,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2012,2012,2012,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2013,2013,2013,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2014,2014,2014,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2015,2015,2015,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2016,2016,2016,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2017,2017,2017,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2018,2018,2018,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2019,2019,2019,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2021,2021,2021,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2022,2022,2022,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Armenia,,2023,2023,2023,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2005,2005,2005,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2007,2007,2007,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2008,2008,2008,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2010,2010,2010,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2011,2011,2011,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2012,2012,2012,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2013,2013,2013,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2014,2014,2014,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2015,2015,2015,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2016,2016,2016,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2017,2017,2017,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2018,2018,2018,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2019,2019,2019,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2020,2020,2020,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2021,2021,2021,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2022,2022,2022,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Australia,,2023,2023,2023,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2006,2006,2006,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2008,2008,2008,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2010,2010,2010,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2011,2011,2011,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2012,2012,2012,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2013,2013,2013,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2014,2014,2014,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2015,2015,2015,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2016,2016,2016,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2017,2017,2017,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2018,2018,2018,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2019,2019,2019,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2020,2020,2020,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2021,2021,2021,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2022,2022,2022,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Austria,,2023,2023,2023,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2006,2006,2006,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2007,2007,2007,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2008,2008,2008,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2009,2009,2009,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2010,2010,2010,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2011,2011,2011,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2012,2012,2012,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2013,2013,2013,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2014,2014,2014,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2015,2015,2015,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2016,2016,2016,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2017,2017,2017,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2018,2018,2018,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2019,2019,2019,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2022,2022,2022,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Azerbaijan,,2023,2023,2023,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bahrain,,2009,2009,2009,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bahrain,,2010,2010,2010,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bahrain,,2011,2011,2011,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bahrain,,2012,2012,2012,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bahrain,,2013,2013,2013,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bahrain,,2014,2014,2014,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bahrain,,2015,2015,2015,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bahrain,,2016,2016,2016,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bahrain,,2017,2017,2017,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bahrain,,2019,2019,2019,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bahrain,,2020,2020,2020,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bahrain,,2023,2023,2023,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2006,2006,2006,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2007,2007,2007,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2008,2008,2008,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2009,2009,2009,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2010,2010,2010,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2011,2011,2011,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2012,2012,2012,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2013,2013,2013,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2014,2014,2014,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2015,2015,2015,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2016,2016,2016,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2017,2017,2017,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2018,2018,2018,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2019,2019,2019,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
WHR2024_ANNUAL,Gallup/WHR,Life Ladder,Bangladesh,,2020,2020,2020,country-year,,observed,no,Coverage-only row generated from validated WHR2024 annual mirror; outcome value omitted.
