concept_family,scale_steps,variable_code,nation_label,since_year,series_rule,source_url
"life_satisfaction","4","M-ls4_hk","Croatia","2004",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_cy","Cyprus","2001",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_cz","Czech Republic","2001",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_dk","Denmark","1973",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_elsal","El Salvador","1997",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_eq","Ecuador","1997",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_ee","Estonia","2001",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_fi","Finland","1990",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_fr","France","1973",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_de","Germany","1990",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_gr","Greece","1981",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_hn","Honduras","1997",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_hu","Hungary","2001",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_ie","Ireland","1973",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_it","Italy","1973",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_jp","Japan","1958",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_lv","Latvia","2001",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_lt","Lithuania","2001",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_lu","Luxembourg","1973",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_mt","Malta","2001",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_mx","Mexico","1997",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_nl","Netherlands","1973",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_ni","Nicaragua","1991",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_pa","Panama","1997",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_py","Paraguay","1997",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_pe","Peru","1997",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_pl","Poland","2001",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_pt","Portugal","1985",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_ro","Romania","1998",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_sk","Slovakia","2001",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_","Slovenia","2001",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_sp","Spain","1985",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_si","Sweden","1995",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_uk","United Kingdom","1973",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_ve","Venezuela","1997",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","5","M-ls5_jp","Japan","1978",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","5","M-hl5_nl","Netherlands","1974",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","5","M-hl5_sa","South Africa","1981",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction_mixed_4_5","45","M-ls45_pj","Japan","1958",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","10","M-ls10_ca","Canada","1982",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","10","M-ls10_dk","Denmark","1981",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","10","M-ls10_fr","France","1981",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","10","M-ls10_is","Iceland","1981",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","10","M-ls10_kr","South Korea","1981",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","10","M-ls10_mx","Mexico","1981",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","10","M-ls10_nl","Netherlands","1981",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","10","M-ls10_ro","Romania","1990",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","10","M-ls10_ru","Russia","1990",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","10","M-ls10_se","Sweden","1982",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_au","Australia","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_be","Belgium","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_ca","Canada","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_dk","Denmark","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_ge","Germany","1984",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_fi","Finland","1976",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_fr","France","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_hu","Hungary","1992",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_is","Iceland","2004",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_ir","Ireland","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_il","Israel","2002",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_it","Italy","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_jp","Japan","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_kr","South Korea","1980",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_lu","Luxembourg","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_nl","Netherlands","1974",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_mx","Mexico","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_no","Norway","1990",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_pl","Poland","2002",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_ro","Romania","2006",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_ru","Russia","1991",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_sk","Slovakia","2004",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_si","Slovenia","1991",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_za","South Africa","2002",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_sp","Spain","2000",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_se","Sweden","1982",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_ch","Switzerland","1976",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_tr","Turkey","2001",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_ua","Ukraine","2004",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_uk","United Kingdom","1971",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","11","M-ls11_us","United States","1959",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"best_worst_possible_life","11","M-bw11_br","Brazil","1960",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"best_worst_possible_life","11","M-bw11_ca","Canada","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"best_worst_possible_life","11","M-bw11_cn","China","1999",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"best_worst_possible_life","11","M-bw11_eg","Egypt","1960",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"best_worst_possible_life","11","M-bw11_fr","France","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"best_worst_possible_life","11","M-bw11_in","India","1962",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"best_worst_possible_life","11","M-bw11_it","Italy","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"best_worst_possible_life","11","M-bw11_jp","Japan","1962",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"best_worst_possible_life","11","M-bw11_kr","South Korea","1981",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"best_worst_possible_life","11","M-bw11_mx","Mexico","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
